pitches,player_id,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,player
9464,641540,9464,100,0.259,0.161,0.304,0.42,0.329,0.33,0.257,572,2210,88.3,8.5,2078.0,86.3,86.85,1020,4320,5143,Dane Dunning
9457,643327,9457,100,0.258,0.164,0.311,0.422,0.328,0.334,0.257,562,2181,89.0,7.8,2160.0,86.8,85.77,1170,4286,5152,Zack Godley
9451,425532,9451,100,0.282,0.169,0.306,0.45,0.342,0.369,0.305,673,2390,88.4,9.8,2000.0,88.9,86.42,926,4529,4874,Jerome Williams
9451,641482,9451,100,0.236,0.177,0.277,0.413,0.304,0.295,0.229,505,2138,88.3,21.4,2269.0,86.8,86.07,1104,4626,4825,Nestor Cortes
9425,123801,9425,100,0.259,0.174,0.274,0.433,0.331,,,613,2368,,,,66.5,,818,4373,5015,Tim Wakefield
9403,450665,9403,100,0.251,0.132,0.299,0.382,0.302,0.345,0.272,581,2317,89.3,10.8,2309.0,86.6,86.65,995,4361,5025,Kris Medlen
9396,517414,9396,100,0.251,0.163,0.29,0.413,0.318,0.29,0.225,516,2059,86.9,13.6,2112.0,89.0,89.06,1072,4270,5077,Randall Delgado
9370,502381,9370,100,0.219,0.125,0.276,0.344,0.272,0.272,0.214,508,2321,86.8,4.2,2408.0,85.8,84.79,1473,4548,4717,Luke Gregerson
9343,207267,9343,100,0.3,0.171,0.317,0.472,0.361,,,671,2234,,,,90.1,,594,4237,5083,Brad Penny
9343,501955,9343,100,0.262,0.139,0.321,0.4,0.326,0.306,0.247,548,2095,88.0,8.8,2135.0,90.2,88.42,963,3976,5305,Joba Chamberlain
