Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
Chris Martin,BOS,RP,Jun '24,Anxiety,Activated,06/02/24,06/17/24,06/18/24,Activated
Walker Buehler,LAD,SP,08/23/22,Tommy John surgery,Activated,03/17/24,04/07/24,05/06/24,Activated
Shane Baz,TBR,SP,09/28/22,Tommy John surgery,Activated,03/25/24,04/09/24,05/23/24,Activated
Lucas Gilbreath,COL,RP,03/14/23,Tommy John surgery,Activated,03/25/24,05/24/24,08/16/24,Activated
Cade Cavalli,WSN,SP,03/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
Matt Foster,CHW,RP,Apr '23,Tommy John surgery,Activated,03/28/24,05/27/24,08/16/24,Activated
Carson Coleman,TEX,RP,Apr '23,Elbow surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
JT Brubaker,NYY,SP,04/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
Jeffrey Springs,TBR,SP,04/24/23,Tommy John surgery,Activated,03/28/24,05/27/24,07/28/24,Activated
Kris Bubic,KCR,SP,04/26/23,Tommy John surgery,Activated,03/28/24,05/27/24,07/06/24,Activated
Lou Trivino,NYY,RP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Rehab assignment (8/14)
Robbie Ray,SFG,SP,05/03/23,Tommy John surgery,Activated,03/28/24,05/27/24,07/24/24,Activated
Germán Márquez,COL,SP,05/12/23,Tommy John surgery,Activated,03/28/24,05/27/24,07/14/24,Activated
José Quijada,LAA,RP,05/17/23,Tommy John surgery,Activated,03/28/24,05/27/24,07/22/24,Activated
Austin Warren,SFG,RP,05/17/23,Tommy John surgery,Activated,03/28/24,05/27/24,07/13/24,Activated
Luis Garcia,HOU,SP,05/19/23,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
Tyler Mahle,TEX,SP,05/22/23,Tommy John surgery,Activated,03/28/24,05/27/24,08/06/24,Activated
Penn Murfee,HOU,RP,Jun '23,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,No timetable for return
Jacob deGrom,TEX,SP,06/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Rehab assignment (8/22)
Lance McCullers Jr.,HOU,SP,06/13/23,Elbow surgery (flexor tendon/bone spur),60-Day IL,03/28/24,05/27/24,,Doubtful for 2024 season
Matthew Boyd,CLE,SP,06/28/23,Tommy John surgery,Activated,06/29/24,07/14/24,08/13/24,Activated
Drew Rasmussen,TBR,SP,Jul '23,Elbow surgery (internal brace),Activated,03/28/24,05/27/24,08/07/24,Activated
Dustin May,LAD,SP,07/18/23,Tommy John revision surgery,60-Day IL,03/20/24,05/19/24,,Out for 2024 season
Antonio Senzatela,COL,SP,07/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Rehab assignment (8/16)
Liam Hendriks,BOS,RP,08/02/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Rehab assignment (8/18)
Tucupita Marcano,SDP,INF/OF,08/09/23,Knee surgery (torn ACL),Activated,03/17/24,04/02/24,06/04/24,Activated
Shane McClanahan,TBR,SP,08/21/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
Stone Garrett,WSN,OF,08/23/23,Fractured leg (fibula),Activated,03/25/24,04/04/24,04/25/24,Activated
Freddy Tarnok,OAK,SP,08/30/23,Hip surgery,Activated,03/25/24,05/24/24,06/01/24,Activated
Sam Bachman,LAA,SP,Sep '23,Arthroscopic shoulder surgery,Activated,03/28/24,05/27/24,06/14/24,Activated
Tony Gonsolin,LAD,SP,09/01/23,Tommy John surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
Josh Winder,MIN,RP,Sep '23,Shoulder discomfort (scapular stress fracture),Activated,03/28/24,05/27/24,05/27/24,Activated
Tommy Kahnle,NYY,RP,09/20/23,Shoulder inflammation,Activated,03/25/24,04/09/24,05/22/24,Activated
Jasson Domínguez,NYY,OF,09/20/23,Tommy John surgery,Activated,03/28/24,05/27/24,06/12/24,Activated
Drey Jameson,ARI,RP,09/27/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
John Means,BAL,SP,Oct '23,Strained forearm,Activated,03/25/24,04/09/24,05/01/24,Activated
Tommy Edman,LAD,OF/INF,Oct '23,Arthroscopic wrist surgery,Activated,03/25/24,05/24/24,08/19/24,Activated
Jonathan Hernández,TEX,RP,10/01/23,Strained lat,Activated,03/25/24,04/09/24,04/22/24,Activated
Angel Perdomo,ATL,RP,10/06/23,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
Sandy Alcantara,MIA,SP,10/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Félix Bautista,BAL,RP,10/09/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Kyle Wright,KCR,SP,10/11/23,Shoulder surgery (torn capsule),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Brandon Woodruff,MIL,SP,10/13/23,Shoulder surgery (anterior capsule repair),60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
Taylor Walls,TBR,INF,10/30/23,Hip surgery (labrum repair),Activated,03/25/24,05/24/24,06/07/24,Activated
Alex Cobb,CLE,SP,10/31/23,Hip surgery (labrum repair),Activated,03/25/24,05/24/24,08/09/24,Activated
Clayton Kershaw,LAD,SP,11/03/23,Shoulder surgery (glenohumeral ligaments and capsu,Activated,03/20/24,05/19/24,07/25/24,Activated
David Peterson,NYM,SP,11/06/23,Hip surgery (labrum repair),Activated,03/28/24,05/27/24,05/29/24,Activated
Scott Effross,NYY,RP,Dec '23,Back surgery,Activated,03/28/24,05/27/24,07/15/24,Activated
Johan Oviedo,PIT,SP,12/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Endy Rodríguez,PIT,C,12/12/23,Elbow/Flexor tendon surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Max Scherzer,TEX,SP,12/14/23,Back surgery (herniated disc),Activated,03/25/24,05/24/24,06/23/24,Activated
Sean Newcomb,OAK,SP,12/20/23,Arthroscopic knee surgery,Activated,03/25/24,05/24/24,06/04/24,Activated
Randal Grichuk,ARI,OF,Jan '24,Ankle procedure (bone spur removal),Activated,03/25/24,04/04/24,04/05/24,Activated
Kyle Bradish,BAL,SP,Jan '24,Sprained elbow,Activated,03/25/24,04/09/24,05/02/24,Activated
Kendall Graveman,HOU,RP,Jan '24,Shoulder surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
Ronny Mauricio,NYM,INF,01/02/24,Knee surgery (torn ACL),60-Day IL,03/28/24,05/27/24,,Out 8-12 months
Sam Moll,CIN,RP,Feb '24,Shoulder impingement,Activated,03/25/24,04/09/24,04/23/24,Activated
Alex Young,CIN,RP,Feb '24,Back tightness,Activated,03/25/24,05/24/24,05/28/24,Activated
James Karinchak,CLE,RP,Feb '24,Shoulder inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
Justin Verlander,HOU,SP,Feb '24,Shoulder inflammation,Activated,03/25/24,04/09/24,04/19/24,Activated
Shawn Dubin,HOU,SP,Feb '24,Strained forearm,Activated,03/25/24,04/09/24,04/13/24,Activated
Carlos Hernández,KCR,RP,Feb '24,Shoulder soreness,Activated,03/25/24,04/09/24,05/24/24,Activated
JT Chargois,MIA,RP,Feb '24,Neck spasms,Activated,03/25/24,05/24/24,06/12/24,Activated
Braxton Garrett,MIA,SP,Feb '24,Shoulder impingement,Activated,03/25/24,04/09/24,05/08/24,Activated
Wade Miley,MIL,SP,Feb '24,Shoulder impingement,Activated,03/25/24,04/09/24,04/10/24,Activated
Caleb Thielbar,MIN,RP,Feb '24,Strained hamstring,Activated,03/25/24,04/09/24,04/14/24,Activated
Zack Weiss,MIN,RP,Feb '24,Strained shoulder (teres major),Activated,03/25/24,05/24/24,07/17/24,Activated
McKinley Moore,NYY,RP,Feb '24,Knee bursitis,Activated,03/25/24,04/09/24,04/13/24,Activated
Glenn Otto,SDP,SP,Feb '24,Strained shoulder (teres major),Activated,03/17/24,04/07/24,06/25/24,Activated
Eduard Bazardo,SEA,RP,Feb '24,Strained shoulder (rotator cuff),Activated,03/25/24,04/09/24,05/08/24,Activated
Kodai Senga,NYM,SP,02/21/24,Strained shoulder (posterior capsule),Activated,03/25/24,05/24/24,07/26/24,Activated
Shane Drohan,CHW,SP,02/22/24,Shoulder surgery (nerve decompression),Activated,03/25/24,05/24/24,06/09/24,Activated
Bryan Mata,BOS,RP,02/24/24,Strained hamstring,60-Day IL,03/25/24,05/24/24,,No timetable for return
Michael Stefanic,LAA,INF,02/24/24,Strained quad,Activated,03/25/24,05/24/24,05/29/24,Activated
Max Kranick,NYM,SP,02/26/24,Strained hamstring,Activated,03/25/24,04/09/24,04/23/24,Activated
Aledmys Díaz,OAK,INF/OF,02/26/24,Strained calf,Activated,03/25/24,05/24/24,05/28/24,Activated
Alek Manoah,TOR,SP,02/27/24,Shoulder inflammation,Activated,03/25/24,04/09/24,05/05/24,Activated
Sean Hjelle,SFG,SP,02/28/24,Strained elbow,Activated,03/25/24,04/09/24,04/20/24,Activated
Vaughn Grissom,BOS,2B,03/01/24,Strained hamstring,Activated,03/25/24,04/04/24,05/03/24,Activated
Jesse Scholtens,CHW,SP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Ben Lively,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/17/24,Activated
Trevor Stephan,CLE,RP,Mar '24,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
Xzavion Curry,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/15/24,Activated
Gerrit Cole,NYY,SP,03/01/24,Elbow inflammation,Activated,03/28/24,05/27/24,06/19/24,Activated
Dylan Covey,PHI,RP,03/01/24,Strained shoulder,Activated,03/25/24,05/24/24,08/27/24,Activated
Michael Rucker,PHI,RP,03/01/24,Finger numbness,Activated,03/25/24,05/24/24,07/26/24,Activated
Orion Kerkering,PHI,RP,03/01/24,Strained forearm,Activated,03/25/24,04/09/24,04/14/24,Activated
Yasmani Grandal,PIT,C,Mar '24,Plantar fascitis,Activated,03/25/24,04/04/24,05/03/24,Activated
Colin Holderman,PIT,RP,Mar '24,Illness,Activated,03/25/24,04/09/24,04/11/24,Activated
Sam Haggerty,SEA,INF/OF,Mar '24,Medical procedure,Activated,03/25/24,04/04/24,04/17/24,Activated
Michael Lorenzen,TEX,SP,Mar '24,Strained neck,Activated,03/25/24,04/09/24,04/15/24,Activated
Mason Thompson,WSN,RP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Jose Ferrer,WSN,RP,Mar '24,Strained upper back,Activated,03/28/24,05/27/24,07/19/24,Activated
Brusdar Graterol,LAD,RP,03/02/24,Shoulder inflammation,Activated,03/17/24,05/22/24,08/05/24,Activated
Lars Nootbaar,STL,OF,03/02/24,Non-displaced rib fractures,Activated,03/25/24,04/04/24,04/11/24,Activated
Luis Medina,OAK,SP,03/04/24,Sprained knee,Activated,03/25/24,05/24/24,06/02/24,Activated
Tristan Beck,SFG,SP,03/04/24, Vascular surgery (upper arm aneurysm),Activated,03/28/24,05/27/24,09/01/24,Activated
Sonny Gray,STL,SP,03/04/24,Strained hamstring,Activated,03/25/24,04/09/24,04/09/24,Activated
Caleb Kilian,CHC,SP,03/05/24,Strained shoulder,Activated,03/28/24,05/27/24,07/31/24,Activated
Xavier Edwards,MIA,INF/OF,03/05/24,Foot infection,Activated,03/25/24,05/24/24,05/27/24,Activated
Devin Williams,MIL,RP,03/05/24,Stress fractures in back,Activated,03/25/24,05/24/24,07/28/24,Activated
Ji Hwan Bae,PIT,INF/OF,03/05/24,Strained hip,Activated,03/25/24,04/04/24,04/15/24,Activated
Nathaniel Lowe,TEX,1B,03/05/24,Strained oblique,Activated,03/25/24,04/04/24,04/20/24,Activated
Oswald Peraza,NYY,INF,03/06/24,Strained shoulder,Activated,03/25/24,04/04/24,05/19/24,Activated
Scott Alexander,OAK,RP,03/06/24,Stress reaction in rib,Activated,03/25/24,04/09/24,05/21/24,Activated
Rafael Marchán,PHI,C,03/07/24,Back discomfort,Activated,03/25/24,04/04/24,05/27/24,Activated
Sam Hentges,CLE,SP,03/08/24,Finger inflammation,Activated,03/25/24,04/09/24,05/06/24,Activated
Jameson Taillon,CHC,SP,03/09/24,Strained lower back,Activated,03/25/24,04/09/24,04/18/24,Activated
Jake Brentz,KCR,RP,03/09/24,Strained hamstring,Activated,03/25/24,04/09/24,05/20/24,Activated
Blake Treinen,LAD,RP,03/09/24,Bruised lung,Activated,03/17/24,04/07/24,05/05/24,Activated
Gavin Williams,CLE,SP,03/10/24,Elbow inflammation,Activated,03/25/24,05/24/24,06/30/24,Activated
Edward Cabrera,MIA,RP,03/10/24,Shoulder impingement,Activated,03/25/24,04/09/24,04/15/24,Activated
Jonny DeLuca,TBR,OF,03/10/24,Fractured hand,Activated,03/25/24,04/04/24,05/03/24,Activated
Jordan Romano,TOR,RP,03/10/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
Gregory Santos,SEA,RP,03/11/24,Strained lat,Activated,03/25/24,05/24/24,07/08/24,Activated
Lucas Giolito,BOS,SP,03/12/24,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Rob Refsnyder,BOS,OF,03/12/24,Fractured toe,Activated,03/25/24,04/04/24,04/18/24,Activated
Josh Taylor,KCR,RP,03/12/24,Biceps soreness,60-Day IL,03/25/24,05/24/24,,No timetable for return
Taj Bradley,TBR,SP,03/12/24,Strained pectoral,Activated,03/25/24,04/09/24,05/08/24,Activated
Patrick Wisdom,CHC,INF/OF,03/13/24,Strained back,Activated,03/25/24,04/04/24,04/18/24,Activated
Kelvin Caceres,LAA,RP,03/13/24,Strained lat,60-Day IL,05/09/24,07/08/24,,No timetable for return
Jhoan Duran,MIN,RP,03/13/24,Strained oblique,Activated,03/25/24,04/09/24,04/30/24,Activated
Carmen Mlodzinski,PIT,RP,03/13/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/10/24,Activated
Ethan Small,SFG,RP,03/13/24,Strained oblique,Activated,03/28/24,05/27/24,08/16/24,Activated
Danny Jansen,TOR,C,03/13/24,Fractured pisiform bone (right wrist),Activated,03/25/24,04/04/24,04/15/24,Activated
Erik Swanson,TOR,RP,03/13/24,Forearm inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
Justin Topa,MIN,RP,03/15/24,Patellar tendinitis (left knee),60-Day IL,03/25/24,05/24/24,,No timetable for return
Jackson Kowar,SEA,RP,03/15/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Nick Lodolo,CIN,SP,03/16/24,Calf tenosynovitis,Activated,03/25/24,04/09/24,04/13/24,Activated
TJ Friedl,CIN,OF,03/16/24,Non-displaced wrist fracture,Activated,03/25/24,04/04/24,05/07/24,Activated
