Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
Michael Massey,KCR,2B,03/16/24,Lower back tightness,Activated,03/25/24,04/04/24,04/19/24,Activated
DJ LeMahieu,NYY,INF,03/16/24,Fractured foot (non-displaced),Activated,03/25/24,05/24/24,05/28/24,Activated
Brandon Williamson,CIN,SP,03/17/24,Strained shoulder,Activated,03/25/24,05/24/24,09/01/24,Activated
Jonathan Aranda,TBR,INF/OF,03/17/24,Fractured finger (right ring),Activated,03/25/24,04/04/24,05/14/24,Activated
Josh Lowe,TBR,OF,03/17/24,Strained oblique,Activated,03/25/24,04/04/24,05/06/24,Activated
Eduardo Rodriguez,ARI,SP,03/19/24,Strained lat,Activated,03/25/24,05/24/24,08/06/24,Activated
Dauri Moreta,PIT,SP,03/21/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Paul Sewald,ARI,RP,03/23/24,Strained oblique,Activated,03/25/24,04/09/24,05/07/24,Activated
Taijuan Walker,PHI,SP,03/23/24,Shoulder impingement,Activated,03/25/24,04/09/24,04/28/24,Activated
Bryan Woo,SEA,SP,03/23/24,Elbow inflammation,Activated,03/25/24,04/09/24,05/10/24,Activated
Garrett Mitchell,MIL,OF,03/24/24,Fractured finger (left index),Activated,03/25/24,05/24/24,07/01/24,Activated
Sean Reid-Foley,NYM,RP,03/24/24,Shoulder impingement,Activated,03/25/24,04/09/24,04/22/24,Activated
Josh Staumont,MIN,RP,03/25/24,Strained calf,Activated,03/26/24,04/10/24,04/19/24,Activated
Dylan Carlson,STL,OF,03/25/24,Sprained shoulder (AC joint),Activated,03/26/24,04/05/24,05/05/24,Activated
Matt McLain,CIN,2B,03/26/24,Shoulder surgery,10-Day IL,03/25/24,04/04/24,,No timetable for return
Miguel Andujar,OAK,OF/INF,03/27/24,Knee surgery (lateral meniscectomy),Activated,03/25/24,04/04/24,05/24/24,Activated
Justin Steele,CHC,SP,03/28/24,Strained hamstring,Activated,03/29/24,04/13/24,05/06/24,Activated
Royce Lewis,MIN,3B,03/28/24,Strained quad,Activated,03/29/24,04/08/24,06/04/24,Activated
Luke Jackson,SFG,RP,03/28/24,Strained lower back,Activated,03/29/24,04/13/24,04/22/24,Activated
Riley O'Brien,STL,RP,03/28/24,Strained forearm flexor,Activated,03/29/24,05/28/24,08/11/24,Activated
Nick Senzel,WSN,3B,03/28/24,Fractured thumb (right),Activated,03/27/24,04/06/24,04/15/24,Activated
Sean Murphy,ATL,C,03/29/24,Strained oblique,Activated,03/30/24,04/09/24,05/27/24,Activated
Anthony DeSclafani,MIN,SP,03/29/24,Elbow/Flexor tendon surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
Cionel Pérez,BAL,RP,03/30/24,Strained oblique,Activated,03/31/24,04/15/24,04/29/24,Activated
Jason Heyward,LAD,OF,03/30/24,Lower back tightness,Activated,03/31/24,04/10/24,05/17/24,Activated
Trevor Megill,MIL,RP,03/30/24,Concussion,Activated,03/31/24,04/07/24,04/19/24,Activated
Taylor Clarke,MIL,RP,03/30/24,Knee surgery (torn meniscus),Activated,03/25/24,04/09/24,05/15/24,Activated
Alek Thomas,ARI,OF,03/31/24,Strained hamstring,Activated,04/01/24,04/11/24,07/02/24,Activated
Eloy Jiménez,CHW,OF,03/31/24,Strained groin,Activated,04/02/24,04/12/24,04/15/24,Activated
Tylor Megill,NYM,SP,03/31/24,Strained shoulder,Activated,04/01/24,04/16/24,05/20/24,Activated
Daniel Bard,COL,RP,Apr '24,Flexor tendon surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
Jonathan Loáisiga,NYY,RP,Apr' '24,Elbow surgery (internal brace),60-Day IL,04/04/24,06/03/24,,Out for 2024 season
Matt Carpenter,STL,1B,04/01/24,Strained oblique,Activated,04/02/24,04/12/24,05/11/24,Activated
Josh Jung,TEX,3B,04/01/24,Wrist surgery,Activated,04/02/24,06/01/24,07/29/24,Activated
Framber Valdez,HOU,SP,04/02/24,Elbow inflammation,Activated,04/06/24,04/21/24,04/27/24,Activated
Jakob Junis,MIL,SP,04/02/24,Shoulder impingement,Activated,04/03/24,06/02/24,06/21/24,Activated
Geraldo Perdomo,ARI,SS,04/03/24,Torn knee meniscus,Activated,04/04/24,04/14/24,06/11/24,Activated
Nick Pivetta,BOS,SP,04/03/24,Strained elbow flexor,Activated,04/06/24,04/21/24,05/08/24,Activated
Bennett Sousa,HOU,RP,04/03/24,Thoracic outlet syndrome surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
Trevor Gott,OAK,RP,04/03/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Victor Robles,WSN,OF,04/03/24,Strained hamstring,Activated,04/04/24,04/14/24,05/07/24,Activated
Trevor Story,BOS,SS,04/05/24,Shoulder surgery (fractured glenoid),60-Day IL,04/06/24,06/05/24,,Rehab assignment (9/1)
Julian Merryweather,CHC,RP,04/05/24,Rib stress fracture,Activated,04/06/24,06/05/24,07/22/24,Activated
John Brebbia,CHW,RP,04/05/24,Strained calf,Activated,04/06/24,04/21/24,04/22/24,Activated
Luis Robert Jr.,CHW,OF,04/05/24,Strained hip flexor,Activated,04/06/24,04/16/24,06/04/24,Activated
Ryan Borucki,PIT,RP,04/05/24,Triceps inflammation,Activated,04/06/24,06/05/24,09/01/24,Activated
Max Kepler,MIN,OF,04/06/24,Knee contusion,Activated,04/07/24,04/22/24,04/22/24,Activated
Josh Sborz,TEX,RP,04/06/24,Strained shoulder (rotator cuff),Activated,04/07/24,04/22/24,04/25/24,Activated
Andy Ibáñez,DET,INF/OF,04/07/24,Strained hamstring,Activated,04/08/24,04/18/24,04/29/24,Activated
Guillermo Zuñiga,LAA,RP,04/07/24,Strained pectoral,Activated,04/08/24,04/23/24,05/25/24,Activated
Chase Silseth,LAA,SP,04/07/24,Elbow inflammation,Activated,04/08/24,06/07/24,06/25/24,Activated
Brent Rooker,OAK,OF,04/07/24,Costochondral cartilage injury,Activated,04/08/24,04/18/24,04/19/24,Activated
Collin Snider,SEA,RP,04/07/24,Knee contusion,Activated,04/08/24,04/23/24,04/23/24,Activated
Justin Foscue,TEX,INF,04/07/24,Strained oblique,Activated,04/08/24,06/07/24,06/26/24,Activated
Eury Pérez,MIA,SP,04/08/24,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
Cody Bolton,SEA,RP,04/08/24,Kidney stones,Activated,04/06/24,04/21/24,04/21/24,Activated
Yoán Moncada,CHW,3B,04/09/24,Strained groin,60-Day IL,04/10/24,06/09/24,,Rehab assignment (8/27)
Connor Brogdon,LAD,RP,04/09/24,Plantar fascitis,60-Day IL,04/10/24,06/09/24,,Rehab assignment (8/17)
Keibert Ruiz,WSN,C,04/09/24,Influenza,Activated,04/12/24,04/22/24,04/25/24,Activated
Romy Gonzalez,BOS,INF/OF,04/10/24,Sprained wrist,Activated,04/11/24,04/21/24,05/08/24,Activated
Chris Murphy,BOS,SP,04/10/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
Bobby Miller,LAD,SP,04/10/24,Shoulder inflammation,Activated,04/11/24,04/26/24,06/19/24,Activated
Jon Berti,NYY,INF/OF,04/10/24,Strained groin,Activated,04/11/24,04/21/24,05/04/25,Activated
Brandon Lowe,TBR,2B,04/10/24,Strained oblique,Activated,04/09/24,04/19/24,05/20/24,Activated
Cody Bradford,TEX,SP,04/10/24,Strained lower back/ Rib stress fracture,Activated,04/11/24,06/10/24,07/29/24,Activated
Isaiah Campbell,BOS,RP,04/11/24,Shoulder impingement,Activated,04/12/24,04/27/24,06/06/24,Activated
Spencer Strider,ATL,SP,04/12/24,Elbow surgery (internal brace),60-Day IL,04/06/24,06/05/24,,Out for 2024 season
Tejay Antone,CIN,RP,04/12/24,Elbow surgery (UCL/flexor tendon repair),60-Day IL,04/08/24,06/07/24,,Out for 2024 season
Shane Bieber,CLE,SP,04/12/24,Tommy John surgery,60-Day IL,04/03/24,06/02/24,,Out for 2024 season
Christian Yelich,MIL,OF,04/12/24,Strained lower back,Activated,04/13/24,04/23/24,05/08/24,Activated
Carlos Correa,MIN,SS,04/12/24,Strained oblique,Activated,04/13/24,04/23/24,04/29/24,Activated
Angel Martínez,CLE,INF,04/13/24,Fractured hamate,Activated,03/25/24,05/24/24,05/29/24,Activated
Kris Bryant,COL,1B/OF,04/13/24,Strained lower back,Activated,04/14/24,04/24/24,05/21/24,Activated
J.B. Bukauskas,MIL,RP,04/13/24,Strained triceps,60-Day IL,04/14/24,06/13/24,,No timetable for return
Marco Gonzales,PIT,SP,04/13/24,Strained forearm,Activated,04/14/24,06/13/24,07/12/24,Activated
Huascar Ynoa,ATL,SP,04/14/24,Stress reaction in elbow,60-Day IL,06/16/24,08/15/24,,Rehab assignment (9/3)
Seiya Suzuki,CHC,OF,04/14/24,Strained oblique,Activated,04/15/24,04/25/24,05/10/24,Activated
Kyle Freeland,COL,SP,04/14/24,Strained elbow,Activated,04/16/24,06/15/24,06/23/24,Activated
Christian Bethancourt,MIA,C,04/14/24,Viral illness,Activated,04/14/24,04/24/24,04/24/24,Activated
Jake Burger,MIA,3B/1B,04/14/24,Strained oblique,Activated,04/15/24,04/25/24,05/06/24,Activated
J.D. Davis,OAK,3B/1B,04/14/24,Strained groin,Activated,04/15/24,04/25/24,05/03/24,Activated
Yu Darvish,SDP,SP,04/14/24,Neck tightness,Activated,04/15/24,04/30/24,04/30/24,Activated
Dominic Canzone,SEA,OF,04/14/24,Sprained shoulder (AC joint),Activated,04/15/24,04/25/24,05/15/24,Activated
Ozzie Albies,ATL,2B,04/15/24,Fractured toe,Activated,04/16/24,04/26/24,04/26/24,Activated
Tyler O'Neill,BOS,OF,04/15/24,Concussion,Activated,04/16/24,04/23/24,04/23/24,Activated
Chad Green,TOR,RP,04/15/24,Strained shoulder (teres major),Activated,04/17/24,05/02/24,05/28/24,Activated
Luis Frías,ARI,RP,04/16/24,Shoulder inflammation,Activated,04/17/24,05/02/24,06/06/24,Activated
Eli Morgan,CLE,RP,04/16/24,Shoulder inflammation,Activated,04/17/24,05/02/24,05/28/24,Activated
Kyle Hurt,LAD,SP,04/16/24,Shoulder inflammation,Activated,04/17/24,06/16/24,06/21/24,Activated
Nick Burdi,NYY,RP,04/16/24,Hip inflammation,Activated,04/17/24,05/02/24,05/10/24,Activated
Pete Fairbanks,TBR,RP,04/17/24,Nerve-related issue,Activated,04/19/24,05/04/24,05/11/24,Activated
Ryne Nelson,ARI,SP,04/18/24,Elbow contusion,Activated,04/19/24,05/04/24,05/05/24,Activated
Brock Burke,TEX,RP,04/18/24,Hand surgery (non-throwing),Activated,04/13/24,06/12/24,06/12/24,Activated
Brayan Bello,BOS,SP,04/19/24,Lat tightness,Activated,04/21/24,05/06/24,05/12/24,Activated
Gio Urshela,DET,3B,04/19/24,Strained hamstring,Activated,04/20/24,04/30/24,05/14/24,Activated
A.J. Puk,MIA,RP,04/19/24,Shoulder fatigue,Activated,04/20/24,05/05/24,05/13/24,Activated
Jason Delay,PIT,C,04/19/24,Knee surgery,Activated,04/01/24,05/31/24,06/04/24,Activated
Blake Snell,SFG,SP,04/19/24,Strained groin,Activated,04/21/24,05/06/24,05/22/24,Activated
Miguel Castro,ARI,RP,04/20/24,Shoulder inflammation,Activated,04/21/24,05/06/24,07/11/24,Activated
Austin Hays,BAL,OF,04/20/24,Strained calf,Activated,04/21/24,05/01/24,05/13/24,Activated
Triston Casas,BOS,1B,04/20/24,Torn rib cartilage,Activated,04/21/24,06/20/24,08/16/24,Activated
Anthony Rendon,LAA,3B,04/20/24,Strained hamstring,Activated,04/21/24,06/20/24,07/08/24,Activated
Jesús Luzardo,MIA,SP,04/20/24,Elbow tightness,Activated,04/23/24,05/08/24,05/11/24,Activated
DL Hall,MIL,SP,04/20/24,Sprained knee,Activated,04/21/24,06/20/24,08/11/24,Activated
Austin Pruitt,TEX,RP,04/20/24,Knee discomfort,Activated,04/21/24,06/20/24,07/29/24,Activated
Merrill Kelly,ARI,SP,04/21/24,Strained shoulder,Activated,04/20/24,06/19/24,08/11/24,Activated
Tyler Heineman,BOS,C,04/21/24,Strained hamstring,Activated,04/22/24,05/02/24,05/18/24,Activated
Kyle Hendricks,CHC,SP,04/21/24,Strained lower back,Activated,04/22/24,05/07/24,05/12/24,Activated
Drew Smyly,CHC,RP,04/21/24,Hip impingement,Activated,04/22/24,05/07/24,05/25/24,Activated
Frankie Montas,CIN,SP,04/21/24,Forearm contusion,Activated,04/22/24,05/07/24,05/07/24,Activated
