Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
Silvino Bracho,ARI,RP,03/13/19,Tommy John surgery,Active roster,07/20/20,09/03/20,09/25/20,Activated
Michael Fulmer,DET,SP,03/27/19,Tommy John surgery,Active roster,,,07/23/20,Activated
Anderson Espinoza,SDP,SP,04/22/19,Tommy John surgery,45-Day IL,02/12/20,06/30/20,09/28/20,Out for 2020 season
Carlos Rodón,CHW,SP,05/15/19,Tommy John surgery,,07/20/20,07/30/20,07/24/20,Activated
Corbin Martin,ARI,SP,07/03/19,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Dustin Pedroia,BOS,2B,08/07/19,Knee joint procedure,45-Day IL,02/23/20,06/30/20,09/28/20,Out for 2020 season
Jameson Taillon,PIT,SP,08/13/19,Tommy John surgery,45-Day IL,02/13/20,06/30/20,09/28/20,Out for 2020 season
David Robertson,PHI,RP,08/15/19,Tommy John surgery,45-Day IL,02/12/20,06/30/20,09/28/20,Out for 2020 season
Reyes Moronta,SFG,RP,09/10/19,Shoulder surgery (torn labrum),45-Day IL,02/12/20,06/30/20,09/28/20,No timetable for return
Austin Adams,SDP,RP,Oct '19,Knee surgery (torn ACL),Active roster,02/12/20,06/30/20,09/20/20,Activated
Jed Lowrie,NYM,INF,Feb '20,Knee discomfort,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Aramis Garcia,SFG,C,02/06/20,Hip surgery,45-Day IL,03/10/20,06/30/20,09/28/20,Out for 2020 season
Daniel Mengden,OAK,SP/RP,02/10/20,Arthroscopic elbow surgery,,,,07/22/20,Activated
Mitch Haniger,SEA,OF,1/23/20; 2/13/20,Core surgery; Microdiscectomy,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Luis Severino,NYY,SP,02/27/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Brock Burke,TEX,SP,02/28/20,Shoulder surgery (labrum debridement),45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Jeremy Walker,ATL,RP,Mar '20,Shoulder impingement,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Yennsy Díaz,TOR,SP/RP,03/09/20,Strained lat,45-Day IL,03/15/20,06/30/20,09/28/20,No timetable for return
Trey Mancini,BAL,1B/OF,03/12/20,Surgery (colon cancer),45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Rogelio Armenteros,HOU,SP/RP,03/13/20,Elbow surgery (bone spur),45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Andrés Muñoz,SEA,RP,03/20/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Tyler Beede,SFG,SP/RP,03/20/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Noah Syndergaard,NYM,SP,03/26/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Chris Sale,BOS,SP,03/30/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
