playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
overaor01,1910,WS,CHN,NL,0,1,1,1,0,0,0,9,6,3,0,1,1,0.545,9.0,0.0,0.0,0.0,0.0,14.0,0,3,2.0,0.0,0.0
overmst01,1945,WS,DET,AL,0,1,1,1,0,0,0,18,4,2,0,2,2,0.19,3.0,0.0,0.0,0.0,0.0,24.0,0,2,1.0,0.0,0.0
owchibo01,1981,ALCS,OAK,AL,0,0,1,0,0,0,0,5,3,1,1,0,0,0.429,5.4,0.0,0.0,0.0,0.0,8.0,1,1,0.0,1.0,0.0
owenfr01,1906,WS,CHA,AL,0,0,1,0,0,0,0,18,6,2,0,3,2,0.286,3.0,0.0,1.0,0.0,0.0,26.0,1,3,2.0,0.0,0.0
owingmi01,2007,NLCS,ARI,NL,0,1,1,1,0,0,0,11,6,2,1,2,2,0.333,4.91,0.0,0.0,1.0,0.0,21.0,0,6,0.0,0.0,0.0
owingmi01,2011,NLDS2,ARI,NL,1,0,2,0,0,0,0,9,2,0,0,0,1,0.182,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0.0,0.0,0.0
paddach01,2020,NLWC2,SDN,NL,0,1,1,1,0,0,0,7,8,6,1,0,1,0.571,23.14,0.0,0.0,0.0,0.0,15.0,0,6,0.0,1.0,0.0
paddach01,2023,ALDS2,MIN,AL,0,0,1,0,0,0,0,4,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0
padilvi01,2009,NLCS,LAN,NL,0,1,2,2,0,0,0,31,8,7,3,3,9,0.211,6.1,0.0,0.0,0.0,0.0,41.0,0,7,0.0,0.0,1.0
padilvi01,2009,NLDS1,LAN,NL,1,0,1,1,0,0,0,21,4,0,0,1,4,0.16,0.0,0.0,0.0,0.0,0.0,26.0,0,0,0.0,0.0,0.0
paganem01,2019,ALDS1,TBA,AL,0,0,3,0,0,0,0,7,5,2,2,2,1,0.385,7.71,0.0,0.0,0.0,0.0,15.0,0,3,0.0,0.0,0.0
paganem01,2019,ALWC,TBA,AL,0,0,1,0,0,0,0,2,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0.0,0.0,0.0
paganem01,2020,NLDS1,SDN,NL,0,0,2,0,0,0,0,6,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
paganem01,2020,NLWC2,SDN,NL,1,0,3,0,0,0,0,9,2,0,0,2,2,0.182,0.0,0.0,0.0,0.0,0.0,13.0,0,0,0.0,0.0,0.0
paganem01,2023,ALDS2,MIN,AL,0,0,1,0,0,0,0,3,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0.0,0.0,0.0
pagejo01,1947,WS,NYA,AL,1,1,4,0,0,0,1,39,12,6,0,2,7,0.24,4.15,0.0,2.0,0.0,0.0,52.0,3,6,0.0,0.0,1.0
pagejo01,1949,WS,NYA,AL,1,0,3,0,0,0,1,27,6,2,2,3,8,0.194,2.0,0.0,0.0,0.0,0.0,35.0,3,2,1.0,0.0,1.0
pageva01,1938,WS,CHN,NL,0,0,1,0,0,0,0,4,2,2,0,0,0,0.333,13.5,0.0,0.0,0.0,0.0,6.0,0,2,0.0,0.0,0.0
paigesa01,1948,WS,CLE,AL,0,0,1,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,0.0,0.0,0.0
paintla01,1995,NLDS1,COL,NL,0,0,1,1,0,0,0,15,5,3,2,2,4,0.25,5.4,0.0,0.0,0.0,0.0,23.0,0,3,0.0,1.0,0.0
palicer01,1949,WS,BRO,NL,0,0,1,0,0,0,0,6,1,0,0,1,1,0.143,0.0,0.0,0.0,0.0,0.0,8.0,0,0,0.0,0.0,0.0
pallaan01,2022,NLWC2,SLN,NL,0,0,1,0,0,0,0,2,2,2,0,0,1,0.5,27.0,0.0,0.0,0.0,0.0,5.0,1,2,0.0,1.0,0.0
palmeji01,1966,WS,BAL,AL,1,0,1,1,1,1,0,27,4,0,0,3,6,0.129,0.0,1.0,1.0,0.0,0.0,34.0,0,0,0.0,0.0,0.0
palmeji01,1969,ALCS,BAL,AL,1,0,1,1,1,0,0,27,10,2,0,2,4,0.278,2.0,1.0,1.0,0.0,0.0,38.0,0,2,0.0,0.0,1.0
palmeji01,1969,WS,BAL,AL,0,1,1,1,0,0,0,18,5,4,1,4,5,0.217,6.0,0.0,0.0,0.0,0.0,27.0,0,4,0.0,0.0,0.0
palmeji01,1970,ALCS,BAL,AL,1,0,1,1,1,0,0,27,7,1,0,3,12,0.212,1.0,0.0,0.0,0.0,0.0,36.0,0,1,0.0,0.0,1.0
palmeji01,1970,WS,BAL,AL,1,0,2,2,0,0,0,47,11,8,2,9,9,0.193,4.6,0.0,1.0,0.0,0.0,68.0,0,8,1.0,0.0,0.0
palmeji01,1971,ALCS,BAL,AL,1,0,1,1,1,0,0,27,7,3,3,3,8,0.212,3.0,0.0,1.0,0.0,0.0,36.0,0,3,0.0,0.0,1.0
palmeji01,1971,WS,BAL,AL,1,0,2,2,0,0,0,51,15,5,2,9,15,0.231,2.65,0.0,0.0,0.0,0.0,75.0,0,5,1.0,0.0,0.0
palmeji01,1973,ALCS,BAL,AL,1,0,3,2,1,1,0,44,11,3,0,8,15,0.204,1.84,1.0,0.0,0.0,0.0,62.0,1,3,0.0,0.0,1.0
palmeji01,1974,ALCS,BAL,AL,0,1,1,1,1,0,0,27,4,1,1,1,4,0.138,1.0,0.0,0.0,1.0,0.0,32.0,0,1,1.0,0.0,0.0
palmeji01,1979,ALCS,BAL,AL,0,0,1,1,0,0,0,27,7,3,1,2,3,0.212,3.0,0.0,0.0,0.0,0.0,35.0,0,3,0.0,0.0,0.0
palmeji01,1979,WS,BAL,AL,0,1,2,2,0,0,0,45,18,6,0,5,8,0.316,3.6,1.0,1.0,1.0,0.0,66.0,0,6,0.0,3.0,1.0
palmeji01,1983,WS,BAL,AL,1,0,1,0,0,0,0,6,2,0,0,1,1,0.25,0.0,0.0,1.0,0.0,0.0,9.0,0,0,0.0,0.0,0.0
palmema01,2009,ALCS,LAA,AL,0,0,2,0,0,0,0,8,5,4,1,1,2,0.385,13.5,0.0,0.0,0.0,0.0,14.0,2,4,0.0,0.0,0.0
paniajo01,2000,ALCS,SEA,AL,0,1,5,0,0,0,0,13,4,2,0,1,4,0.25,4.15,0.0,0.0,0.0,0.0,18.0,1,2,1.0,0.0,0.0
paniajo01,2000,ALDS2,SEA,AL,1,0,2,0,0,0,0,7,1,0,0,2,3,0.125,0.0,0.0,0.0,0.0,0.0,10.0,1,0,0.0,0.0,0.0
paniajo01,2001,ALCS,SEA,AL,0,0,3,0,0,0,0,11,7,5,1,1,1,0.412,12.27,0.0,1.0,0.0,0.0,18.0,2,5,0.0,0.0,1.0
paniajo01,2001,ALDS1,SEA,AL,0,0,2,0,0,0,0,6,4,6,1,2,1,0.4,27.0,0.0,0.0,1.0,0.0,13.0,1,6,0.0,0.0,0.0
papeljo01,2005,ALDS1,BOS,AL,0,0,2,0,0,0,0,12,2,0,0,0,2,0.143,0.0,0.0,0.0,0.0,0.0,14.0,1,0,0.0,0.0,0.0
papeljo01,2007,ALCS,BOS,AL,0,0,3,0,0,0,1,15,3,0,0,2,3,0.167,0.0,1.0,0.0,0.0,0.0,20.0,2,0,0.0,0.0,0.0
papeljo01,2007,ALDS1,BOS,AL,1,0,1,0,0,0,0,4,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1,0,0.0,0.0,0.0
papeljo01,2007,WS,BOS,AL,0,0,3,0,0,0,3,13,2,0,0,0,3,0.143,0.0,0.0,0.0,0.0,0.0,14.0,3,0,0.0,0.0,0.0
papeljo01,2008,ALCS,BOS,AL,0,0,4,0,0,0,2,16,1,0,0,1,6,0.062,0.0,1.0,0.0,0.0,0.0,17.0,2,0,0.0,0.0,1.0
papeljo01,2008,ALDS1,BOS,AL,1,0,3,0,0,0,1,15,2,0,0,1,7,0.125,0.0,0.0,0.0,0.0,0.0,18.0,2,0,0.0,1.0,0.0
papeljo01,2009,ALDS2,BOS,AL,0,1,2,0,0,0,0,6,4,3,0,2,1,0.5,13.5,1.0,0.0,0.0,0.0,10.0,1,3,0.0,0.0,0.0
pappami01,1969,NLCS,ATL,NL,0,0,1,0,0,0,0,7,4,3,1,0,4,0.364,11.57,0.0,0.0,0.0,0.0,11.0,0,3,0.0,0.0,0.0
pareden01,2020,ALCS,HOU,AL,0,0,4,0,0,0,0,10,3,4,1,4,5,0.273,10.8,0.0,0.0,2.0,0.0,18.0,1,4,1.0,0.0,1.0
pareden01,2020,ALDS2,HOU,AL,0,0,3,0,0,0,0,11,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0.0,0.0,0.0
parkch01,2006,NLDS2,SDN,NL,0,0,1,0,0,0,0,6,1,0,0,0,0,0.2,0.0,0.0,0.0,1.0,0.0,6.0,1,0,0.0,0.0,1.0
parkch01,2008,NLCS,LAN,NL,0,0,4,0,0,0,0,5,1,0,0,1,1,0.167,0.0,0.0,1.0,0.0,0.0,7.0,0,0,0.0,0.0,0.0
parkch01,2009,NLCS,PHI,NL,0,1,4,0,0,0,0,10,4,3,0,1,3,0.308,8.1,0.0,0.0,0.0,0.0,14.0,0,3,0.0,0.0,0.0
parkch01,2009,WS,PHI,NL,0,0,4,0,0,0,0,10,2,0,0,1,3,0.182,0.0,0.0,0.0,0.0,0.0,13.0,0,0,0.0,1.0,0.0
parkeha01,1973,NLCS,NYN,NL,0,1,1,0,0,0,0,3,1,1,1,0,0,0.25,9.0,0.0,0.0,0.0,0.0,4.0,1,1,0.0,0.0,0.0
parkeha01,1973,WS,NYN,NL,0,1,3,0,0,0,0,10,2,0,0,2,2,0.2,0.0,0.0,0.0,0.0,0.0,12.0,1,1,0.0,0.0,1.0
