pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity
5725,425747,"Contreras, Jose",5725,100,0.266,0.136,0.312,0.403,0.325,,,359,1348,,,,88.0
5724,452249,"Owings, Micah",5724,100,0.255,0.165,0.281,0.42,0.339,,,324,1272,,,,86.3
5712,430884,"Crain, Jesse",5712,100,0.225,0.125,0.285,0.35,0.292,,,276,1225,,,,89.4
5703,686613,"Brown, Hunter",5703,100,0.25,0.153,0.316,0.403,0.317,0.304,0.236,315,1262,88.7,8.0,2217.0,91.7
5700,571882,"Law, Derek",5700,100,0.255,0.143,0.304,0.398,0.315,0.318,0.256,329,1290,87.7,10.3,2171.0,88.5
5678,607352,"Biagini, Joe",5678,100,0.28,0.172,0.323,0.451,0.34,0.321,0.258,376,1345,87.0,7.3,2223.0,90.0
5660,608349,"Knebel, Corey",5660,100,0.208,0.144,0.295,0.351,0.286,0.278,0.198,244,1175,89.1,13.2,2468.0,91.4
5653,275933,"Downs, Scott",5653,100,0.232,0.099,0.277,0.33,0.279,,,310,1339,,,,86.0
5635,605280,"Holmes, Clay",5635,100,0.224,0.086,0.297,0.311,0.285,0.28,0.211,283,1262,88.3,-3.2,2296.0,92.4
5628,447714,"O'Flaherty, Eric",5628,100,0.256,0.111,0.304,0.367,0.304,0.326,0.26,346,1350,88.2,3.8,2071.0,89.0
5626,607481,"Bummer, Aaron",5626,100,0.235,0.082,0.322,0.317,0.287,0.275,0.216,287,1221,88.5,-3.5,2164.0,90.6
5620,642397,"Soto, Gregory",5620,100,0.24,0.125,0.306,0.366,0.312,0.312,0.229,286,1190,89.0,7.5,2367.0,94.2
5605,136734,"Dotel, Octavio",5605,100,0.217,0.164,0.284,0.381,0.297,,,261,1205,,,,90.6
5603,453214,"Wright, Steven",5603,100,0.249,0.146,0.282,0.394,0.314,0.306,0.233,330,1326,87.4,11.3,1880.0,75.2
5597,606930,"Barnes, Jacob",5597,100,0.255,0.155,0.307,0.41,0.316,0.308,0.241,317,1243,87.9,9.1,2363.0,92.5
5592,434669,"Mendoza, Luis",5592,100,0.295,0.159,0.322,0.454,0.358,,,402,1361,,,,89.5
5592,434665,"Masset, Nick",5592,100,0.261,0.124,0.317,0.386,0.318,0.363,0.31,353,1351,91.1,8.4,2169.0,90.7
5580,656731,"Megill, Tylor",5580,100,0.265,0.173,0.317,0.438,0.335,0.335,0.255,330,1245,88.9,12.2,2064.0,90.6
5579,606149,"Gallegos, Giovanny",5579,100,0.209,0.167,0.266,0.376,0.275,0.285,0.219,263,1258,88.8,18.4,2354.0,89.8
5571,460701,"Russell, James",5571,100,0.264,0.178,0.292,0.442,0.325,0.316,0.275,340,1286,88.1,14.8,2108.0,84.8
5566,543726,"Ross Jr., Robbie",5566,100,0.265,0.113,0.318,0.378,0.318,0.321,0.256,339,1279,85.6,8.5,2135.0,89.8
5544,621295,"Wittgren, Nick",5544,100,0.25,0.168,0.295,0.418,0.309,0.323,0.257,316,1264,90.2,12.5,2108.0,89.5
5524,455119,"Martin, Chris",5524,100,0.257,0.126,0.319,0.382,0.286,0.293,0.252,352,1370,87.9,8.9,2141.0,92.2
5521,594902,"Lively, Ben",5521,100,0.266,0.204,0.291,0.47,0.342,0.334,0.259,356,1337,88.5,15.1,1964.0,86.3
5503,459987,"Ramos, Cesár",5503,100,0.261,0.127,0.3,0.388,0.314,0.334,0.269,346,1326,88.3,10.9,2167.0,86.3
5501,502004,"Kontos, George",5501,100,0.234,0.144,0.267,0.378,0.287,0.296,0.242,316,1353,87.0,11.0,2319.0,87.9
5500,430613,"Belisario, Ronald",5500,100,0.242,0.098,0.29,0.34,0.289,0.286,0.24,317,1312,88.4,-4.4,1924.0,93.1
5500,150188,"Cordero, Francisco",5500,100,0.25,0.117,0.298,0.366,0.312,,,297,1190,,,,91.1
5490,670912,"Oviedo, Johan",5490,100,0.239,0.153,0.281,0.393,0.32,0.332,0.25,295,1232,88.2,10.5,2343.0,90.1
5480,457117,"Frieri, Ernesto",5480,100,0.209,0.164,0.276,0.373,0.302,0.315,0.219,232,1111,90.4,23.7,2261.0,91.3
5478,459939,"Boggs, Mitchell",5478,100,0.266,0.138,0.305,0.404,0.333,,,337,1268,,,,92.4
5469,435179,"Olsen, Scott",5469,100,0.274,0.19,0.29,0.464,0.343,,,371,1353,,,,85.5
5467,425861,"Camp, Shawn",5467,100,0.274,0.157,0.306,0.432,0.328,,,383,1397,,,,84.5
5463,430606,"Adams, Mike",5463,100,0.205,0.109,0.264,0.315,0.259,,,261,1271,,,,89.0
5449,592222,"Claudio, Alex",5449,100,0.266,0.133,0.302,0.398,0.307,0.294,0.25,361,1358,86.3,2.3,2050.0,79.6
5447,630023,"Chirinos, Yonny",5447,100,0.258,0.181,0.287,0.439,0.321,0.338,0.272,351,1361,88.8,11.4,2043.0,90.3
5446,457711,"O'Sullivan, Sean",5446,100,0.305,0.213,0.307,0.518,0.377,0.358,0.299,398,1304,89.0,13.1,1956.0,85.6
5422,668933,"Ashcraft, Graham",5422,100,0.274,0.154,0.305,0.429,0.335,0.332,0.271,356,1297,88.2,6.8,2515.0,93.4
5416,621076,"Kaprielian, James",5416,100,0.244,0.187,0.279,0.431,0.327,0.331,0.246,296,1214,88.6,18.3,2037.0,88.7
5411,501992,"Karns, Nate",5411,100,0.247,0.169,0.299,0.417,0.323,0.321,0.244,299,1210,88.9,12.1,2231.0,88.6
5410,434884,"Rowland-Smith, Ryan",5410,100,0.271,0.182,0.282,0.453,0.344,,,349,1290,,,,83.9
5390,680694,"Bradish, Kyle",5390,100,0.232,0.129,0.293,0.361,0.293,0.305,0.237,285,1229,89.3,6.9,2365.0,90.6
5387,572362,"Erlin, Robbie",5387,100,0.277,0.166,0.318,0.444,0.324,0.315,0.261,371,1337,88.4,11.0,2187.0,85.7
5386,539438,"Diamond, Scott",5386,100,0.292,0.165,0.304,0.457,0.341,0.362,0.208,400,1370,94.6,10.6,2208.0,86.7
5383,553878,"Vázquez, Felipe",5383,100,0.207,0.097,0.287,0.304,0.256,0.27,0.21,254,1226,86.9,10.4,2424.0,93.3
5383,666120,"Anderson, Ian",5383,100,0.225,0.128,0.278,0.353,0.295,0.307,0.234,261,1159,87.6,7.5,1860.0,89.6
5380,400010,"Rauch, Jon",5380,100,0.256,0.155,0.29,0.411,0.311,,,325,1268,,,,87.5
5363,608371,"Sims, Lucas",5363,100,0.213,0.179,0.269,0.393,0.312,0.296,0.201,234,1098,86.4,20.2,2731.0,88.0
5363,132220,"Washburn, Jarrod",5363,100,0.264,0.164,0.279,0.428,0.328,,,334,1265,,,,85.3
5356,459967,"LeCure, Sam",5356,100,0.236,0.139,0.289,0.375,0.304,0.291,0.241,284,1204,88.9,6.5,1843.0,84.6
5349,424805,"Hendrickson, Mark",5349,100,0.291,0.167,0.314,0.459,0.348,,,376,1291,,,,84.2
5328,518858,"Jones, Nate",5328,100,0.237,0.142,0.298,0.379,0.301,0.307,0.231,286,1206,90.1,12.7,2385.0,93.7
5311,573204,"Thielbar, Caleb",5311,100,0.23,0.145,0.291,0.375,0.289,0.288,0.217,271,1179,86.3,18.7,2358.0,84.9
5308,605488,"Springs, Jeffrey",5308,100,0.24,0.162,0.304,0.402,0.304,0.298,0.235,287,1198,87.2,15.7,1971.0,86.6
5300,666129,"Garrett, Braxton",5300,100,0.26,0.162,0.319,0.422,0.322,0.329,0.268,333,1279,89.5,8.4,2144.0,86.4
5288,465679,"Deduno, Samuel",5288,100,0.257,0.137,0.294,0.394,0.333,0.388,0.3,303,1179,91.6,7.5,2109.0,87.1
5285,121250,"Rivera, Mariano",5285,100,0.197,0.085,0.248,0.282,0.227,,,253,1283,,,,91.9
5266,407193,"Lyon, Brandon",5266,100,0.26,0.132,0.303,0.392,0.309,,,325,1249,,,,87.6
5243,607457,"Barraclough, Kyle",5243,100,0.214,0.134,0.287,0.348,0.302,0.307,0.214,221,1031,87.6,12.5,2366.0,89.1
5241,543331,"Hoover, J.J.",5241,100,0.228,0.193,0.268,0.421,0.32,0.343,0.249,244,1072,86.7,15.5,2377.0,89.0
5234,150438,"Lopez, Rodrigo",5234,100,0.295,0.211,0.306,0.506,0.368,,,393,1331,,,,85.7
5233,425146,"Robertson, Nate",5233,100,0.304,0.179,0.333,0.483,0.371,,,392,1290,,,,85.7
5228,592135,"Bedrosian, Cam",5228,100,0.246,0.129,0.308,0.375,0.307,0.313,0.238,282,1148,89.7,12.2,2414.0,89.6
5227,532077,"Osuna, Roberto",5227,100,0.197,0.121,0.252,0.318,0.241,0.267,0.218,249,1264,87.3,15.3,2367.0,92.4
5225,519085,"Oberholtzer, Brett",5225,100,0.282,0.165,0.309,0.447,0.336,0.348,0.274,365,1294,89.4,11.4,1982.0,86.0
5222,449079,"Wright, Wesley",5222,100,0.251,0.159,0.302,0.411,0.327,0.303,0.225,295,1173,90.3,14.4,2023.0,87.5
5216,425226,"Tallet, Brian",5216,100,0.269,0.19,0.293,0.459,0.35,,,327,1215,,,,87.1
5208,430634,"Burnett, Sean",5208,100,0.24,0.126,0.281,0.366,0.299,0.401,0.325,275,1144,88.1,6.5,2195.0,87.4
5198,457915,"Guerra, Javy",5198,100,0.266,0.138,0.311,0.404,0.321,0.33,0.264,313,1175,89.2,15.0,2089.0,90.0
5181,592229,"Covey, Dylan",5181,100,0.288,0.179,0.312,0.467,0.353,0.358,0.288,353,1225,88.7,8.1,2026.0,90.4
5178,454537,"Burton, Jared",5178,100,0.235,0.134,0.279,0.369,0.298,,,283,1202,,,,89.7
5172,622694,"Hernández, Elieser",5172,100,0.255,0.256,0.275,0.511,0.35,0.32,0.235,300,1175,88.4,21.1,2140.0,86.4
5152,657612,"Hill, Tim",5152,100,0.264,0.116,0.304,0.38,0.31,0.294,0.24,324,1227,87.3,-0.4,2144.0,89.1
5143,657053,"Toussaint, Touki",5143,100,0.241,0.161,0.295,0.402,0.34,0.347,0.246,252,1045,87.9,8.7,2121.0,86.7
5132,596043,"Mengden, Daniel",5132,100,0.254,0.175,0.281,0.429,0.32,0.342,0.27,305,1201,89.0,14.4,2159.0,87.0
5129,543935,"Wilson, Alex",5129,100,0.252,0.142,0.282,0.394,0.298,0.301,0.246,315,1250,87.5,11.6,2277.0,89.8
5129,664141,"Brubaker, JT",5129,100,0.263,0.188,0.315,0.45,0.338,0.328,0.252,328,1248,88.5,11.0,2436.0,89.1
5129,150035,"Farnsworth, Kyle",5129,100,0.258,0.145,0.309,0.404,0.317,,,311,1204,,,,92.0
5123,400062,"Redding, Tim",5123,100,0.27,0.182,0.288,0.453,0.342,,,317,1173,,,,87.4
5119,534910,"Hahn, Jesse",5119,100,0.25,0.114,0.292,0.364,0.304,0.326,0.264,296,1185,87.7,7.2,2353.0,88.1
5118,647336,"Soroka, Michael",5118,100,0.243,0.141,0.284,0.384,0.301,0.322,0.259,296,1220,87.4,8.8,2411.0,88.6
5095,543859,"Tonkin, Michael",5095,100,0.248,0.17,0.295,0.417,0.318,0.325,0.251,282,1138,89.4,15.1,2312.0,90.2
5085,605218,"Edwards Jr., Carl",5085,100,0.19,0.118,0.25,0.309,0.274,0.289,0.208,198,1040,85.7,13.5,2517.0,91.0
5072,592804,"Thornburg, Tyler",5072,100,0.225,0.147,0.274,0.372,0.302,0.311,0.227,241,1070,89.2,18.9,2344.0,88.2
5060,643511,"Rogers, Tyler",5060,100,0.248,0.107,0.289,0.355,0.285,0.268,0.232,323,1305,84.7,4.5,2079.0,78.3
5050,669211,"Akin, Keegan",5050,100,0.254,0.169,0.308,0.422,0.315,0.311,0.242,289,1139,88.5,14.6,2270.0,88.9
5025,493247,"Moylan, Peter",5025,100,0.247,0.104,0.293,0.351,0.302,0.302,0.242,288,1165,86.8,2.4,2168.0,86.1
5022,606424,"García, Jarlín",5022,100,0.224,0.169,0.246,0.393,0.293,0.321,0.248,267,1193,88.0,13.6,2202.0,88.8
5021,666142,"Ragans, Cole",5021,100,0.222,0.127,0.292,0.349,0.286,0.293,0.227,245,1106,87.5,13.7,2413.0,89.7
5010,425827,"Bonderman, Jeremy",5010,100,0.278,0.175,0.297,0.452,0.353,,,336,1209,,,,87.8
5001,669194,"Nelson, Ryne",5001,100,0.271,0.204,0.301,0.475,0.335,0.328,0.264,326,1204,90.4,14.6,2217.0,90.1
4992,643410,"Leiter Jr., Mark",4992,100,0.239,0.18,0.29,0.419,0.318,0.32,0.245,273,1144,87.0,9.3,1718.0,86.3
4983,554431,"Matzek, Tyler",4983,100,0.23,0.124,0.295,0.354,0.302,0.293,0.209,262,1137,88.2,15.0,2518.0,90.6
4971,657376,"Schmidt, Clarke",4971,100,0.255,0.162,0.307,0.417,0.323,0.314,0.245,287,1124,88.2,13.2,2754.0,89.1
4964,502028,"Wood, Blake",4964,100,0.264,0.142,0.323,0.405,0.326,0.305,0.24,289,1095,88.4,6.4,2207.0,93.1
4962,605541,"Wright Jr., Mike",4962,100,0.292,0.199,0.324,0.491,0.365,0.35,0.276,321,1100,89.3,14.1,2146.0,90.2
4957,446209,"Litsch, Jesse",4957,100,0.264,0.173,0.283,0.437,0.329,,,314,1190,,,,86.1
4943,598287,"Ramirez, Noé",4943,100,0.228,0.18,0.272,0.408,0.311,0.307,0.222,252,1103,87.5,15.8,2275.0,84.2
4914,592346,"González, Chi Chi",4914,100,0.278,0.196,0.291,0.474,0.354,0.363,0.287,315,1135,88.7,11.1,2312.0,89.2
4910,663738,"Lynch IV, Daniel",4910,100,0.277,0.176,0.308,0.452,0.344,0.352,0.275,307,1110,89.9,13.8,2020.0,89.0
4907,543184,"Friedrich, Christian",4907,100,0.284,0.157,0.329,0.442,0.342,0.318,0.258,333,1171,87.7,11.5,2276.0,87.0
4901,283166,"Gonzalez, Michael",4901,100,0.235,0.167,0.301,0.401,0.314,,,244,1039,,,,88.0
4896,664199,"Clarke, Taylor",4896,100,0.269,0.214,0.304,0.483,0.343,0.331,0.25,294,1093,89.4,17.4,2157.0,90.2
4889,643256,"Cimber, Adam",4889,100,0.255,0.126,0.295,0.381,0.302,0.298,0.246,313,1228,87.1,7.0,2232.0,83.2
4884,665795,"Cabrera, Edward",4884,100,0.217,0.167,0.268,0.384,0.321,0.327,0.224,216,996,87.4,9.9,2151.0,91.6
4880,663559,"Falter, Bailey",4880,100,0.272,0.19,0.3,0.462,0.335,0.336,0.272,332,1220,89.1,16.3,1943.0,87.5
4868,457456,"Reyes, Jo-Jo",4868,100,0.302,0.201,0.327,0.503,0.378,0.535,0.527,350,1158,95.9,11.5,2293.0,87.9
4867,641835,"Mayza, Tim",4867,100,0.25,0.148,0.309,0.398,0.305,0.307,0.251,281,1124,87.1,4.9,2110.0,91.6
4864,425426,"Wang, Chien-Ming",4864,100,0.3,0.151,0.321,0.451,0.354,0.367,0.306,373,1245,90.7,8.3,1879.0,89.9
4852,542585,"Cisnero, José",4852,100,0.251,0.145,0.316,0.396,0.324,0.319,0.235,262,1045,87.6,14.3,2354.0,92.4
4847,429720,"Maine, John",4847,100,0.248,0.15,0.284,0.398,0.328,,,251,1013,,,,89.9
4835,150407,"Mota, Guillermo",4835,100,0.246,0.163,0.283,0.409,0.316,,,258,1050,,,,90.9
4832,518715,"Gearrin, Cory",4832,100,0.239,0.122,0.298,0.361,0.303,0.306,0.235,268,1123,87.8,9.4,2412.0,87.8
4831,643493,"Pruitt, Austin",4831,100,0.267,0.175,0.291,0.442,0.321,0.318,0.261,329,1230,88.1,11.0,2448.0,88.1
4811,657140,"Wright, Kyle",4811,100,0.246,0.155,0.291,0.401,0.32,0.336,0.253,281,1143,88.7,4.9,2362.0,89.7
4808,676440,"Bibee, Tanner",4808,100,0.23,0.149,0.286,0.379,0.291,0.3,0.239,251,1090,88.3,16.9,2433.0,88.7
4795,650911,"Sánchez, Cristopher",4795,100,0.254,0.134,0.307,0.388,0.301,0.298,0.253,308,1211,86.8,2.4,2027.0,88.6
4779,663623,"Irvin, Jake",4779,100,0.25,0.183,0.279,0.434,0.324,0.332,0.256,269,1074,89.1,12.8,2383.0,89.4
4766,400067,"Silva, Carlos",4766,100,0.309,0.172,0.329,0.481,0.36,,,374,1209,,,,87.5
4753,642152,"Trivino, Lou",4753,100,0.233,0.125,0.296,0.358,0.299,0.304,0.229,256,1097,86.8,10.2,2188.0,92.6
4752,488786,"Coleman, Louis",4752,100,0.23,0.168,0.277,0.398,0.314,0.312,0.233,232,1008,85.9,15.5,2288.0,85.8
4750,669330,"Wells, Tyler",4750,100,0.211,0.193,0.229,0.404,0.288,0.306,0.227,232,1101,88.5,20.3,2425.0,88.8
4740,656876,"Rasmussen, Drew",4740,100,0.223,0.113,0.278,0.336,0.269,0.285,0.237,252,1130,88.7,9.2,2517.0,91.6
4738,408310,"Heilman, Aaron",4738,100,0.267,0.174,0.314,0.441,0.345,,,264,988,,,,88.8
4736,543278,"Hardy, Blaine",4736,100,0.258,0.151,0.294,0.409,0.312,0.314,0.242,286,1107,87.3,13.9,2122.0,83.5
4728,592716,"Sampson, Adrian",4728,100,0.276,0.214,0.299,0.49,0.348,0.354,0.279,319,1154,89.4,14.6,2129.0,89.1
4725,663372,"Feltner, Ryan",4725,100,0.275,0.168,0.317,0.443,0.343,0.336,0.262,303,1101,88.6,12.7,2299.0,89.5
4716,407911,"Francisco, Frank",4716,100,0.235,0.157,0.303,0.391,0.305,,,243,1035,,,,91.4
4715,501822,"Hatcher, Chris",4715,100,0.261,0.173,0.314,0.434,0.326,0.304,0.238,275,1055,87.9,15.1,2239.0,92.0
4704,543208,"Gaviglio, Sam",4704,100,0.264,0.205,0.288,0.469,0.335,0.33,0.259,304,1152,88.4,8.9,2027.0,85.7
4702,650895,"Castillo, Diego",4702,100,0.201,0.129,0.255,0.33,0.273,0.272,0.197,213,1060,86.8,9.4,2186.0,91.7
4688,407816,"Putz, J.J.",4688,100,0.227,0.124,0.297,0.351,0.287,,,248,1093,,,,91.3
4686,572403,"VerHagen, Drew",4686,100,0.267,0.181,0.301,0.447,0.339,0.324,0.247,288,1080,88.2,10.5,2220.0,88.7
4683,640448,"Finnegan, Kyle",4683,100,0.241,0.155,0.289,0.396,0.306,0.307,0.24,256,1064,89.6,8.7,1891.0,94.2
4679,489189,"Outman, Josh",4679,100,0.262,0.144,0.307,0.406,0.326,,,276,1054,,,,88.1
4664,593140,"Feliz, Michael",4664,100,0.248,0.192,0.325,0.44,0.328,0.317,0.233,241,970,88.7,15.4,2233.0,91.5
4658,607219,"Romano, Sal",4658,100,0.275,0.19,0.305,0.465,0.343,0.334,0.263,299,1088,88.2,10.1,2128.0,91.9
4645,502272,"Fien, Casey",4645,100,0.257,0.185,0.289,0.442,0.312,0.349,0.28,286,1112,88.5,15.7,2460.0,89.8
4642,650556,"Abreu, Bryan",4642,100,0.203,0.107,0.297,0.309,0.279,0.287,0.204,196,967,88.7,13.8,2614.0,91.4
4642,693821,"Elder, Bryce",4642,100,0.255,0.149,0.292,0.404,0.319,0.33,0.264,273,1071,89.2,8.2,2162.0,87.1
4635,545404,"Beachy, Brandon",4635,100,0.223,0.131,0.276,0.354,0.28,0.41,0.316,227,1020,89.8,24.5,2245.0,87.1
4635,425646,"Ayala, Luis",4635,100,0.284,0.139,0.321,0.423,0.333,,,312,1097,,,,88.6
4618,542947,"Bleier, Richard",4618,100,0.271,0.126,0.298,0.398,0.299,0.293,0.259,348,1283,88.1,0.4,1923.0,87.1
4616,451661,"Fields, Josh",4616,100,0.226,0.164,0.29,0.39,0.292,0.276,0.209,237,1049,89.4,21.6,2164.0,90.5
4615,543144,"Farquhar, Danny",4615,100,0.234,0.14,0.303,0.375,0.299,0.299,0.219,237,1012,86.6,13.6,2222.0,88.6
4610,500724,"Ramírez, JC",4610,100,0.268,0.175,0.287,0.443,0.332,0.32,0.254,296,1106,88.0,7.7,2145.0,91.5
4601,592644,"Plutko, Adam",4601,100,0.273,0.261,0.279,0.535,0.361,0.343,0.263,293,1072,88.8,21.8,2331.0,87.6
4597,614179,"Ruiz, José",4597,100,0.255,0.176,0.3,0.431,0.33,0.328,0.249,260,1020,89.6,14.3,2230.0,92.2
4590,643377,"Jax, Griffin",4590,100,0.221,0.159,0.266,0.38,0.286,0.29,0.22,235,1064,88.3,11.9,2534.0,89.9
4582,518489,"Brasier, Ryan",4582,100,0.234,0.143,0.281,0.377,0.287,0.307,0.245,254,1085,89.5,13.4,2326.0,91.8
4581,467726,"Mijares, Jose",4581,100,0.258,0.137,0.312,0.396,0.32,,,261,1011,,,,88.3
4579,594577,"Mayers, Mike",4579,100,0.27,0.203,0.317,0.473,0.345,0.326,0.251,279,1033,89.2,15.3,2239.0,90.1
4574,650893,"Cabrera, Génesis",4574,100,0.225,0.145,0.273,0.37,0.306,0.314,0.228,225,999,88.1,13.8,2202.0,91.4
4574,665871,"Assad, Javier",4574,100,0.24,0.154,0.278,0.395,0.313,0.33,0.257,246,1024,87.3,12.9,2055.0,88.3
4567,446185,"Ondrusek, Logan",4567,100,0.25,0.154,0.281,0.403,0.318,0.312,0.246,268,1074,90.2,1.0,2127.0,89.2
4554,446641,"Lopez, Wilton",4554,100,0.284,0.126,0.327,0.41,0.316,,,337,1188,,,,90.4
4545,572955,"Johnson, Pierce",4545,100,0.234,0.144,0.319,0.378,0.306,0.296,0.22,228,974,89.1,14.5,2685.0,88.6
4545,669467,"Pallante, Andre",4545,100,0.268,0.115,0.307,0.383,0.319,0.302,0.25,283,1055,88.5,-4.2,2336.0,91.3
4542,663554,"Mize, Casey",4542,100,0.256,0.174,0.283,0.43,0.321,0.343,0.269,270,1056,89.2,9.5,2028.0,89.7
4524,150118,"Fuentes, Brian",4524,100,0.227,0.129,0.273,0.356,0.294,,,221,975,,,,86.5
4518,457732,"Bailey, Andrew",4518,100,0.212,0.134,0.258,0.345,0.272,0.331,0.25,212,1002,88.5,16.7,2641.0,90.7
4518,518397,"Alexander, Scott",4518,100,0.248,0.099,0.293,0.347,0.291,0.298,0.246,279,1125,87.9,-3.4,2194.0,91.4
4502,571735,"Hale, David",4502,100,0.281,0.168,0.312,0.449,0.337,0.328,0.268,307,1093,88.4,9.4,2026.0,87.7
4501,622065,"Young, Alex",4501,100,0.262,0.196,0.292,0.458,0.335,0.334,0.264,279,1065,88.8,10.7,2140.0,86.3
4497,605232,"Finnegan, Brandon",4497,100,0.241,0.18,0.271,0.421,0.328,0.344,0.254,238,988,88.3,12.2,2107.0,89.7
4491,518444,"Beavan, Blake",4491,100,0.282,0.192,0.284,0.474,0.34,,,326,1157,,,,86.5
4487,657571,"Ferguson, Caleb",4487,100,0.235,0.141,0.309,0.376,0.306,0.298,0.23,233,991,87.3,11.2,2454.0,90.7
4476,663465,"Allard, Kolby",4476,100,0.274,0.204,0.297,0.478,0.346,0.347,0.272,289,1055,89.6,15.2,2030.0,87.1
4463,682243,"Miller, Bryce",4463,100,0.227,0.164,0.266,0.391,0.288,0.319,0.25,243,1072,90.4,17.2,2321.0,91.3
4460,458924,"Venters, Jonny",4460,100,0.219,0.066,0.299,0.285,0.277,0.317,0.229,223,1018,91.3,-0.4,2142.0,92.5
4459,434663,"Oviedo, Juan Carlos",4459,100,0.239,0.155,0.279,0.393,0.308,,,250,1048,,,,90.7
4454,572750,"Butler, Eddie",4454,100,0.304,0.205,0.32,0.509,0.378,0.362,0.289,321,1056,88.2,7.5,2077.0,91.0
4436,525768,"Collins, Tim",4436,100,0.232,0.136,0.292,0.368,0.312,0.326,0.245,212,913,85.5,16.4,2319.0,87.0
4431,543779,"Siegrist, Kevin",4431,100,0.209,0.153,0.268,0.361,0.29,0.301,0.215,193,924,87.1,18.8,2140.0,91.3
4420,543056,"Coulombe, Danny",4420,100,0.23,0.135,0.284,0.365,0.29,0.288,0.227,231,1003,87.6,7.9,2433.0,85.4
4415,502179,"Espino, Paolo",4415,100,0.281,0.22,0.305,0.501,0.352,0.353,0.281,298,1059,88.3,15.4,2445.0,82.1
4412,571948,"Milner, Hoby",4412,100,0.255,0.156,0.308,0.411,0.313,0.3,0.242,255,999,85.0,9.8,1915.0,84.5
4409,116615,"Johnson, Randy",4409,100,0.26,0.189,0.304,0.449,0.328,,,281,1079,,,,88.4
4396,456379,"Alburquerque, Al",4396,100,0.209,0.093,0.286,0.301,0.279,0.305,0.239,194,929,87.8,7.9,2306.0,89.3
4384,544928,"Lyons, Tyler",4384,100,0.239,0.178,0.289,0.417,0.312,0.329,0.252,255,1068,87.8,15.1,2150.0,85.8
4375,661403,"Clase, Emmanuel",4375,100,0.194,0.068,0.249,0.262,0.218,0.247,0.216,218,1126,86.3,0.9,2602.0,97.1
4365,641755,"Kinley, Tyler",4365,100,0.24,0.168,0.29,0.408,0.32,0.315,0.236,230,959,88.0,16.0,2451.0,92.0
4365,457796,"Olson, Garrett",4365,100,0.287,0.189,0.305,0.477,0.367,,,294,1024,,,,86.3
4358,672578,"Hernández, Carlos",4358,100,0.255,0.154,0.299,0.409,0.326,0.334,0.252,240,942,89.5,16.3,2213.0,92.0
4350,430911,"Aardsma, David",4350,100,0.224,0.146,0.279,0.37,0.308,0.328,0.232,196,876,90.1,18.5,2129.0,91.6
4344,694297,"Pfaadt, Brandon",4344,100,0.262,0.189,0.31,0.451,0.323,0.307,0.247,285,1087,89.1,15.6,2508.0,89.6
4330,518703,"Furbush, Charlie",4330,100,0.229,0.137,0.282,0.367,0.294,0.271,0.208,222,968,85.3,12.4,2224.0,86.6
4311,623184,"Oberg, Scott",4311,100,0.246,0.132,0.302,0.379,0.305,0.304,0.244,242,982,88.4,6.2,2291.0,91.4
4305,434641,"Gutierrez, Juan",4305,100,0.255,0.148,0.296,0.403,0.317,,,260,1020,,,,90.3
4289,666157,"Lodolo, Nick",4289,100,0.249,0.17,0.324,0.419,0.333,0.311,0.226,241,967,88.9,11.0,2392.0,89.4
4275,425786,"Atchison, Scott",4275,100,0.247,0.129,0.274,0.375,0.289,0.397,0.329,259,1050,89.7,8.9,2282.0,87.9
4266,120221,"Park, Chan Ho",4266,100,0.261,0.138,0.307,0.399,0.32,,,253,969,,,,87.6
4257,622554,"Domínguez, Seranthony",4257,100,0.208,0.13,0.269,0.338,0.279,0.284,0.21,195,939,87.0,11.6,2350.0,94.9
4254,592094,"Adam, Jason",4254,100,0.182,0.146,0.235,0.328,0.267,0.283,0.195,166,912,86.6,16.8,2516.0,88.7
4242,430963,"Pena, Ramon",4242,100,0.282,0.137,0.317,0.419,0.33,,,294,1042,,,,90.9
4242,570240,"Peña, Félix",4242,100,0.24,0.167,0.288,0.408,0.311,0.312,0.241,241,1003,88.6,13.7,2261.0,88.3
4230,671096,"Abbott, Andrew",4230,100,0.242,0.191,0.278,0.433,0.322,0.31,0.234,227,937,88.7,20.9,2370.0,88.2
4229,491159,"Thatcher, Joe",4229,100,0.262,0.108,0.338,0.37,0.305,0.291,0.236,239,911,83.6,11.6,2190.0,84.7
4217,621368,"Hearn, Taylor",4217,100,0.262,0.17,0.31,0.432,0.336,0.336,0.258,242,924,88.3,15.5,2184.0,91.4
4211,435261,"Miner, Zach",4211,100,0.274,0.147,0.3,0.421,0.342,,,252,920,,,,87.8
4209,425647,"Carrasco, D.J.",4209,100,0.273,0.121,0.314,0.394,0.325,,,274,1005,,,,86.3
4198,445612,"Thayer, Dale",4198,100,0.251,0.139,0.291,0.389,0.299,0.311,0.252,239,953,88.3,17.4,2121.0,90.5
4194,663567,"Lambert, Peter",4194,100,0.302,0.235,0.329,0.538,0.38,0.352,0.279,297,982,89.5,11.7,2099.0,88.8
4189,657024,"Swanson, Erik",4189,100,0.228,0.199,0.267,0.427,0.303,0.301,0.23,217,953,89.1,17.6,1985.0,89.7
4188,460072,"Berken, Jason",4188,100,0.313,0.199,0.339,0.512,0.38,,,320,1022,,,,88.4
