pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity
10802,519293,"Smith, Will",10802,100,0.231,0.162,0.294,0.393,0.299,0.281,0.211,581,2517,87.5,16.8,2221.0,86.4
10760,474699,"Worley, Vance",10760,100,0.285,0.146,0.327,0.431,0.337,0.332,0.27,739,2597,88.5,9.8,2189.0,87.9
10740,607200,"Fedde, Erick",10740,100,0.269,0.181,0.299,0.45,0.337,0.344,0.272,634,2359,88.6,9.1,2005.0,88.6
10723,669302,"Gilbert, Logan",10723,100,0.229,0.162,0.276,0.391,0.286,0.3,0.242,584,2555,89.7,14.3,2004.0,90.4
10711,519076,"Nelson, Jimmy",10711,100,0.255,0.139,0.312,0.394,0.319,0.306,0.235,643,2517,86.9,7.9,2279.0,90.9
10698,519151,"Pressly, Ryan",10698,100,0.23,0.118,0.297,0.348,0.277,0.279,0.222,590,2569,89.1,8.3,2735.0,90.0
10670,461872,"Swarzak, Anthony",10670,100,0.271,0.159,0.303,0.43,0.325,0.302,0.231,686,2533,88.6,13.8,2368.0,89.3
10644,608665,"Graveman, Kendall",10644,100,0.259,0.144,0.294,0.403,0.317,0.335,0.27,657,2540,89.0,7.4,2240.0,91.1
10609,458006,"Albers, Matt",10609,100,0.254,0.132,0.291,0.386,0.314,0.308,0.236,608,2394,86.5,8.1,2051.0,90.2
10567,533167,"Shoemaker, Matt",10567,100,0.252,0.174,0.288,0.426,0.314,0.331,0.255,645,2562,88.0,13.4,1822.0,87.3
10543,493137,"Matsuzaka, Daisuke",10543,100,0.242,0.148,0.288,0.389,0.326,,,547,2263,,,,88.1
10525,623167,"Flexen, Chris",10525,100,0.282,0.183,0.308,0.465,0.348,0.342,0.268,696,2470,88.5,14.8,2133.0,87.3
10500,446899,"Ziegler, Brad",10500,100,0.249,0.087,0.291,0.337,0.286,0.293,0.249,658,2640,88.4,-1.3,1919.0,82.2
10496,448159,"Parra, Manny",10496,100,0.28,0.148,0.34,0.429,0.347,0.319,0.28,671,2393,89.2,10.4,1784.0,88.2
10477,628452,"Iglesias, Raisel",10477,100,0.21,0.136,0.276,0.346,0.269,0.274,0.212,511,2432,86.7,14.0,2280.0,90.6
10420,608717,"Stratton, Chris",10420,100,0.261,0.154,0.31,0.415,0.322,0.325,0.255,603,2314,88.8,12.4,2644.0,87.9
10417,502154,"Britton, Zack",10417,100,0.23,0.096,0.28,0.326,0.285,0.258,0.195,559,2427,88.0,-6.9,2096.0,92.5
10355,346871,"Cook, Aaron",10355,100,0.295,0.144,0.31,0.439,0.342,,,809,2740,,,,89.0
10330,641778,"Lauer, Eric",10330,100,0.255,0.176,0.297,0.431,0.326,0.324,0.25,589,2313,88.8,16.8,2237.0,88.2
10329,452733,"Gorzelanny, Tom",10329,100,0.262,0.165,0.307,0.427,0.338,0.37,0.278,617,2353,90.0,15.0,2163.0,87.1
10293,502083,"McAllister, Zach",10293,100,0.268,0.159,0.32,0.428,0.328,0.311,0.247,635,2365,89.0,14.9,2219.0,90.6
10262,605288,"Houser, Adrian",10262,100,0.256,0.141,0.296,0.397,0.318,0.32,0.253,599,2343,88.0,6.2,2067.0,90.1
10177,517593,"Salazar, Danny",10177,100,0.239,0.155,0.309,0.394,0.306,0.308,0.233,541,2264,89.8,11.1,2177.0,92.2
10157,596295,"Gomber, Austin",10157,100,0.269,0.193,0.298,0.462,0.338,0.34,0.271,656,2443,88.5,12.4,2173.0,85.7
10116,596057,"Norris, Daniel",10116,100,0.261,0.187,0.304,0.447,0.333,0.334,0.255,588,2255,89.9,13.0,2246.0,88.2
10054,502748,"Peacock, Brad",10054,100,0.232,0.177,0.283,0.409,0.316,0.288,0.21,506,2185,87.8,14.2,2385.0,87.4
10038,445590,"Stults, Eric",10038,100,0.27,0.16,0.294,0.43,0.326,0.367,0.287,656,2432,88.0,12.2,1850.0,83.1
10029,453265,"Watson, Tony",10029,100,0.223,0.122,0.264,0.345,0.274,0.288,0.232,537,2411,85.6,11.4,2329.0,90.5
10000,593576,"Neris, Héctor",10000,100,0.213,0.153,0.28,0.367,0.289,0.293,0.213,476,2231,87.7,14.9,1922.0,90.2
9989,503285,"O'Day, Darren",9989,100,0.208,0.131,0.258,0.338,0.271,0.263,0.197,474,2284,85.8,17.7,2216.0,83.2
9961,279571,"Belisle, Matt",9961,100,0.272,0.132,0.321,0.405,0.312,0.306,0.252,658,2416,86.7,10.8,2075.0,88.4
9960,650644,"Civale, Aaron",9960,100,0.248,0.176,0.287,0.423,0.312,0.311,0.251,580,2343,88.0,13.9,2549.0,86.1
9918,408061,"Rodríguez, Francisco",9918,100,0.223,0.147,0.28,0.37,0.292,0.302,0.233,497,2227,88.4,11.5,1966.0,86.9
9906,518452,"Bettis, Chad",9906,100,0.283,0.18,0.316,0.463,0.346,0.328,0.264,672,2373,88.1,6.3,1903.0,88.2
9882,446099,"Axford, John",9882,100,0.241,0.119,0.315,0.36,0.306,0.31,0.234,492,2041,88.3,5.5,2188.0,92.2
9875,670950,"Richards, Trevor",9875,100,0.235,0.17,0.29,0.405,0.312,0.311,0.23,496,2107,88.1,17.3,2272.0,87.0
9867,433586,"Casilla, Santiago",9867,100,0.231,0.118,0.282,0.349,0.294,0.303,0.231,515,2227,87.2,12.9,2337.0,91.1
9858,542960,"Brach, Brad",9858,100,0.233,0.133,0.294,0.366,0.3,0.294,0.224,480,2064,87.3,12.8,2209.0,90.7
9799,571800,"Hutchison, Drew",9799,100,0.272,0.173,0.31,0.445,0.341,0.354,0.272,623,2288,88.9,13.2,2275.0,89.8
9746,334492,"Pineiro, Joel",9746,100,0.284,0.152,0.305,0.436,0.329,,,742,2609,,,,86.9
9733,459429,"McGee, Jake",9733,100,0.232,0.155,0.287,0.387,0.29,0.309,0.241,509,2198,89.4,17.0,2197.0,93.7
9722,624133,"Suárez, Ranger",9722,100,0.242,0.127,0.297,0.37,0.296,0.294,0.241,565,2330,86.8,5.7,1875.0,88.1
9677,570649,"Ventura, Yordano",9677,100,0.252,0.14,0.296,0.392,0.315,0.33,0.254,575,2286,89.5,7.4,2137.0,92.8
9649,456027,"Ohlendorf, Ross",9649,100,0.273,0.193,0.302,0.467,0.35,0.327,0.239,617,2256,88.0,21.0,2092.0,88.6
9488,458713,"Slowey, Kevin",9488,100,0.29,0.185,0.322,0.475,0.343,,,683,2357,,,,86.9
9474,664299,"Javier, Cristian",9474,100,0.197,0.173,0.241,0.37,0.288,0.294,0.201,387,1968,88.5,24.4,2430.0,87.7
9474,544727,"Familia, Jeurys",9474,100,0.234,0.116,0.301,0.351,0.297,0.29,0.223,501,2138,86.7,4.3,2200.0,94.2
9464,641540,"Dunning, Dane",9464,100,0.259,0.161,0.304,0.42,0.329,0.33,0.257,572,2210,88.3,8.5,2078.0,86.3
9457,643327,"Godley, Zack",9457,100,0.258,0.164,0.311,0.422,0.328,0.334,0.257,562,2181,89.0,7.8,2160.0,86.8
9451,425532,"Williams, Jerome",9451,100,0.282,0.169,0.306,0.45,0.342,0.369,0.305,673,2390,88.4,9.8,2000.0,88.9
9451,641482,"Cortes, Nestor",9451,100,0.236,0.177,0.277,0.413,0.304,0.295,0.229,505,2138,88.3,21.4,2269.0,86.8
9425,123801,"Wakefield, Tim",9425,100,0.259,0.174,0.274,0.433,0.331,,,613,2368,,,,66.5
9403,450665,"Medlen, Kris",9403,100,0.251,0.132,0.299,0.382,0.302,0.345,0.272,581,2317,89.3,10.8,2309.0,86.6
9396,517414,"Delgado, Randall",9396,100,0.251,0.163,0.29,0.413,0.318,0.29,0.225,516,2059,86.9,13.6,2112.0,89.0
9370,502381,"Gregerson, Luke",9370,100,0.219,0.125,0.276,0.344,0.272,0.272,0.214,508,2321,86.8,4.2,2408.0,85.8
9343,207267,"Penny, Brad",9343,100,0.3,0.171,0.317,0.472,0.361,,,671,2234,,,,90.1
9343,501955,"Chamberlain, Joba",9343,100,0.262,0.139,0.321,0.4,0.326,0.306,0.247,548,2095,88.0,8.8,2135.0,90.2
9284,451085,"Matusz, Brian",9284,100,0.272,0.179,0.312,0.45,0.342,0.337,0.239,570,2099,88.4,16.0,2310.0,87.1
9276,663776,"Sandoval, Patrick",9276,100,0.248,0.128,0.306,0.376,0.311,0.318,0.25,510,2057,86.8,8.9,2113.0,87.4
9208,518813,"Holland, Greg",9208,100,0.208,0.117,0.289,0.325,0.273,0.305,0.219,424,2039,88.0,11.1,2197.0,90.0
9185,449097,"Papelbon, Jonathan",9185,100,0.221,0.107,0.289,0.328,0.267,0.292,0.236,476,2154,89.6,13.4,1934.0,91.8
9172,641712,"Hudson, Dakota",9172,100,0.259,0.136,0.287,0.396,0.325,0.343,0.27,548,2113,88.9,5.4,2215.0,89.3
9086,491646,"Gómez, Jeanmar",9086,100,0.284,0.153,0.311,0.437,0.334,0.33,0.275,622,2190,87.7,8.1,1964.0,88.3
9043,467094,"Doubront, Felix",9043,100,0.269,0.164,0.313,0.433,0.339,0.338,0.273,543,2018,89.3,10.0,2004.0,88.0
9038,450282,"Perkins, Glen",9038,100,0.271,0.157,0.311,0.428,0.323,0.311,0.237,620,2292,88.6,16.2,2174.0,89.9
9013,543557,"Montgomery, Mike",9013,100,0.26,0.144,0.298,0.404,0.32,0.333,0.268,552,2126,88.2,5.6,1995.0,87.0
9003,458677,"Wilson, Justin",9003,100,0.228,0.117,0.298,0.345,0.291,0.286,0.215,436,1915,86.6,13.5,2365.0,93.1
8964,276542,"Benoit, Joaquín",8964,100,0.197,0.139,0.246,0.336,0.268,0.289,0.21,384,1948,86.2,15.6,2018.0,90.5
8957,608344,"Irvin, Cole",8957,100,0.27,0.167,0.299,0.437,0.325,0.344,0.279,627,2320,88.6,15.1,1924.0,86.9
8935,444520,"Breslow, Craig",8935,100,0.25,0.136,0.287,0.386,0.311,0.345,0.275,515,2062,87.9,16.4,1998.0,87.1
8901,150119,"Garcia, Freddy",8901,100,0.27,0.181,0.29,0.451,0.334,,,599,2219,,,,82.7
8879,605347,"López, Jorge",8879,100,0.276,0.178,0.316,0.453,0.344,0.341,0.262,569,2065,89.3,7.6,2064.0,90.5
8867,571656,"Farmer, Buck",8867,100,0.248,0.18,0.291,0.428,0.33,0.321,0.236,474,1913,88.3,14.8,2273.0,89.3
8821,666200,"Luzardo, Jesús",8821,100,0.241,0.181,0.3,0.422,0.316,0.316,0.241,481,1992,88.7,13.6,2203.0,90.7
8787,468396,"Ogando, Alexi",8787,100,0.235,0.135,0.272,0.371,0.3,0.323,0.241,458,1946,88.4,13.8,2240.0,91.2
8786,448609,"Sipp, Tony",8786,100,0.218,0.184,0.262,0.401,0.306,0.296,0.225,407,1868,87.2,15.6,1866.0,87.4
8758,669373,"Skubal, Tarik",8758,100,0.223,0.158,0.281,0.381,0.285,0.294,0.23,455,2043,88.5,12.2,2049.0,90.4
8750,457428,"McDonald, James",8750,100,0.251,0.15,0.297,0.401,0.323,,,490,1949,,,,87.6
8736,425492,"Madson, Ryan",8736,100,0.241,0.109,0.305,0.35,0.281,0.275,0.227,511,2121,86.7,8.8,2137.0,90.8
8729,516969,"Herrera, Kelvin",8729,100,0.235,0.128,0.294,0.363,0.286,0.291,0.232,479,2040,87.4,13.4,2199.0,94.4
8727,451482,"Galarraga, Armando",8727,100,0.258,0.204,0.265,0.461,0.343,,,528,2049,,,,88.2
8706,572140,"Skaggs, Tyler",8706,100,0.258,0.151,0.307,0.409,0.319,0.325,0.255,516,1997,88.4,13.7,2302.0,86.3
8706,472610,"García, Luis",8706,100,0.252,0.126,0.308,0.378,0.311,0.303,0.241,518,2053,88.2,5.0,2074.0,91.8
8703,119469,"Moyer, Jamie",8703,100,0.271,0.173,0.288,0.445,0.336,,,569,2098,,,,78.4
8687,595014,"Treinen, Blake",8687,100,0.228,0.102,0.292,0.329,0.278,0.275,0.216,474,2082,86.4,5.6,2387.0,93.7
8684,455009,"Broxton, Jonathan",8684,100,0.234,0.112,0.306,0.346,0.291,0.301,0.239,452,1928,86.4,7.3,2093.0,93.4
8684,598264,"Barnes, Matt",8684,100,0.236,0.135,0.319,0.371,0.306,0.296,0.217,427,1809,89.1,10.3,2218.0,90.7
8677,593334,"Germán, Domingo",8677,100,0.231,0.2,0.267,0.43,0.312,0.311,0.236,479,2077,88.7,15.7,2504.0,87.8
8666,605151,"Bradley, Archie",8666,100,0.252,0.143,0.314,0.395,0.314,0.314,0.246,480,1903,88.9,9.3,2180.0,90.9
8641,435298,"Niemann, Jeff",8641,100,0.251,0.155,0.283,0.406,0.317,,,524,2091,,,,88.2
8622,517008,"Colomé, Alex",8622,100,0.238,0.124,0.284,0.362,0.29,0.308,0.243,486,2038,89.4,8.1,2088.0,91.4
8608,476589,"Warren, Adam",8608,100,0.236,0.141,0.276,0.377,0.297,0.309,0.242,437,1854,87.6,12.0,2141.0,88.5
8558,467008,"Strop, Pedro",8558,100,0.197,0.107,0.26,0.303,0.271,0.278,0.199,369,1877,87.3,8.0,2274.0,90.6
8557,448855,"Guerra, Junior",8557,100,0.234,0.158,0.275,0.392,0.312,0.317,0.239,449,1918,87.5,13.4,2069.0,89.9
8549,606160,"Montero, Rafael",8549,100,0.261,0.157,0.321,0.418,0.332,0.314,0.24,474,1815,86.3,10.4,2252.0,92.0
8542,502202,"Boxberger, Brad",8542,100,0.213,0.148,0.277,0.36,0.296,0.297,0.212,372,1748,86.9,15.8,2070.0,88.3
