,Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
6982,2022,Albert Pujols,STL,107,344,303,82,44,14,0,24,41,68,26,1,54,9,6,0,13,1,1,0.270627062,1177
6983,2022,Cole Tucker,PIT,18,60,60,11,9,1,1,0,3,2,0,0,23,0,0,0,1,1,0,0.183333333,17326
6984,2022,Nicky Lopez,KCR,133,466,425,96,80,12,4,0,49,20,29,0,61,3,1,8,8,13,3,0.225882352,19339
6985,2022,Jackie Bradley Jr.,BOS,85,269,251,55,33,18,1,3,19,26,16,0,49,0,0,2,3,2,3,0.219123505,12984
6986,2022,DJ Stewart,BAL,3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,17766
6987,2022,Jose Rojas,LAA,22,57,56,7,5,2,0,0,1,1,0,0,19,1,0,0,1,0,0,0.125,19331
6988,2022,Shohei Ohtani,LAA,157,655,577,157,88,29,6,34,87,92,70,14,159,5,3,0,6,11,9,0.272097053,19755
6989,2022,Joe Perez,HOU,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,22254
6990,2022,Alex Dickerson,ATL,12,36,33,4,3,0,0,1,3,2,3,0,9,0,0,0,3,0,0,0.121212121,12649
6991,2022,Jonah Heim,TEX,124,438,394,91,54,20,1,16,51,48,41,0,82,1,2,0,10,2,0,0.230964467,16930
6992,2022,Cavan Biggio,TOR,91,282,238,51,26,18,1,6,42,22,37,0,77,5,1,1,2,1,0,0.214285714,19252
6993,2022,Yordan Alvarez,HOU,133,527,439,137,70,29,2,36,91,93,76,9,98,5,7,0,11,1,1,0.312072892,19556
6994,2022,Roberto Perez,PIT,20,69,60,14,10,2,0,2,8,8,9,0,25,0,0,0,1,0,0,0.233333333,2900
6995,2022,Yan Gomes,CHC,83,284,269,63,45,11,0,7,22,29,8,0,47,3,3,1,15,2,0,0.234200743,9627
6996,2022,Clint Frazier,CHC,17,42,34,8,5,3,0,0,4,1,7,0,10,1,0,0,1,1,0,0.235294117,15983
6997,2022,Austin Allen,OAK,5,13,11,0,0,0,0,0,1,0,1,0,7,1,0,0,1,0,0,0.0,18083
6998,2022,Eddie Rosario,ATL,79,263,243,51,33,12,1,5,27,24,17,0,67,0,3,0,3,3,0,0.209876543,12155
6999,2022,Alex Kirilloff,MIN,42,139,130,33,23,7,0,3,13,19,4,0,30,3,1,0,5,0,0,0.253846153,20325
7000,2022,Robinson Chirinos,BAL,64,205,183,33,20,9,0,4,10,22,17,0,65,3,1,1,3,1,0,0.180327868,3142
7001,2022,Robinson Cano,NYM,11,33,32,8,7,0,0,1,3,3,1,0,7,0,0,0,0,0,0,0.25,3269
7002,2022,Jason Castro,HOU,28,78,69,8,5,2,0,1,6,3,7,0,36,1,1,0,1,1,0,0.115942028,8722
7003,2022,Mike Trout,LAA,119,490,430,120,53,26,2,39,82,79,53,8,137,6,1,0,6,1,0,0.279069767,10155
7004,2022,Jose Herrera,ARI,44,114,103,21,19,2,0,0,9,5,8,0,31,0,0,3,1,0,0,0.203883495,17040
7005,2022,Lucius Fox,WSN,7,21,19,0,0,0,0,0,0,0,1,0,7,0,0,1,1,0,0,0.0,18899
7006,2022,Cooper Hummel,ARI,63,188,166,30,16,8,3,3,19,17,20,0,63,1,1,0,4,4,1,0.180722891,19458
7007,2022,Heliot Ramos,SFG,6,16,15,0,0,0,0,0,3,0,1,0,4,0,0,0,1,0,0,0.0,22515
7008,2022,George Springer,TOR,130,542,477,128,82,20,4,22,80,71,49,1,89,7,5,0,7,13,1,0.268343815,12856
7009,2022,Ozzie Albies,ATL,64,266,246,61,37,16,0,8,36,35,14,0,47,2,4,0,0,2,5,0.247967479,16556
7010,2022,Hoy Park,PIT,21,59,50,10,6,2,0,2,7,4,4,0,15,1,2,2,0,1,0,0.2,18027
7011,2022,Jacob Stallings,MIA,106,371,333,74,59,12,0,3,23,31,29,0,77,6,2,1,14,0,1,0.222222222,13723
7012,2022,Manuel Margot,TBR,89,351,325,91,67,18,2,4,36,47,23,1,66,2,1,0,7,7,3,0.28,14712
7013,2022,Matt Olson,ATL,161,690,607,147,69,44,0,34,85,102,75,6,167,4,4,0,13,0,0,0.242174629,14344
7014,2022,Steven Duggar,SFG,5,17,16,4,2,2,0,0,2,1,1,0,5,0,0,0,0,2,0,0.25,17719
7015,2022,Daz Cameron,DET,21,70,64,14,9,3,1,1,6,8,5,0,20,1,0,0,1,2,0,0.21875,18353
7016,2022,Bryan De La Cruz,MIA,101,348,323,82,49,20,0,13,37,43,18,0,88,2,4,0,8,3,0,0.253869969,19600
7017,2022,Bryan Lavastida,CLE,3,10,8,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0.125,24765
7018,2022,Jesus Aguilar,MIA,110,443,402,97,64,18,0,15,36,49,27,1,103,4,5,0,7,1,0,0.241293532,11342
7019,2022,Drew Jackson,OAK,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,17807
7020,2022,Nick Plummer,NYM,11,28,26,4,1,1,0,2,4,6,1,0,9,1,0,0,1,0,0,0.153846153,18690
7021,2022,Simon Muzziotti,PHI,4,9,7,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0.142857142,19553
7022,2022,Jose Azocar,SDP,82,204,191,50,38,9,3,0,23,9,11,0,42,0,1,1,6,5,3,0.261780104,18821
7023,2022,Tom Murphy,SEA,13,42,33,10,7,2,0,1,9,1,8,0,13,0,0,0,1,0,0,0.303030303,13499
7024,2022,Jeimer Candelario,DET,122,454,418,90,57,18,2,13,49,49,26,1,105,6,4,0,9,0,1,0.215311004,13621
7025,2022,JT Riddle,CIN,2,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,17642
7026,2022,Willie Calhoun,TEX,18,51,42,6,2,3,0,1,7,2,8,0,6,1,0,0,1,0,0,0.142857142,17838
