,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
0,Silvino Bracho,ARI,RP,03/13/19,Tommy John surgery,Active roster,07/20/20,09/03/20,09/25/20,Activated
1,Michael Fulmer,DET,SP,03/27/19,Tommy John surgery,Active roster,,,07/23/20,Activated
2,Anderson Espinoza,SDP,SP,04/22/19,Tommy John surgery,45-Day IL,02/12/20,06/30/20,09/28/20,Out for 2020 season
3,Carlos Rodón,CHW,SP,05/15/19,Tommy John surgery,,07/20/20,07/30/20,07/24/20,Activated
4,Corbin Martin,ARI,SP,07/03/19,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
5,Dustin Pedroia,BOS,2B,08/07/19,Knee joint procedure,45-Day IL,02/23/20,06/30/20,09/28/20,Out for 2020 season
6,Jameson Taillon,PIT,SP,08/13/19,Tommy John surgery,45-Day IL,02/13/20,06/30/20,09/28/20,Out for 2020 season
7,David Robertson,PHI,RP,08/15/19,Tommy John surgery,45-Day IL,02/12/20,06/30/20,09/28/20,Out for 2020 season
8,Reyes Moronta,SFG,RP,09/10/19,Shoulder surgery (torn labrum),45-Day IL,02/12/20,06/30/20,09/28/20,No timetable for return
9,Austin Adams,SDP,RP,Oct '19,Knee surgery (torn ACL),Active roster,02/12/20,06/30/20,09/20/20,Activated
10,Jed Lowrie,NYM,INF,Feb '20,Knee discomfort,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
11,Aramis Garcia,SFG,C,02/06/20,Hip surgery,45-Day IL,03/10/20,06/30/20,09/28/20,Out for 2020 season
12,Daniel Mengden,OAK,SP/RP,02/10/20,Arthroscopic elbow surgery,,,,07/22/20,Activated
13,Mitch Haniger,SEA,OF,1/23/20; 2/13/20,Core surgery; Microdiscectomy,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
14,Luis Severino,NYY,SP,02/27/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
15,Brock Burke,TEX,SP,02/28/20,Shoulder surgery (labrum debridement),45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
16,Jeremy Walker,ATL,RP,Mar '20,Shoulder impingement,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
17,Yennsy Díaz,TOR,SP/RP,03/09/20,Strained lat,45-Day IL,03/15/20,06/30/20,09/28/20,No timetable for return
18,Trey Mancini,BAL,1B/OF,03/12/20,Surgery (colon cancer),45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
19,Rogelio Armenteros,HOU,SP/RP,03/13/20,Elbow surgery (bone spur),45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
20,Andrés Muñoz,SEA,RP,03/20/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
21,Tyler Beede,SFG,SP/RP,03/20/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
22,Noah Syndergaard,NYM,SP,03/26/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
23,Chris Sale,BOS,SP,03/30/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
24,Joely Rodríguez,TEX,RP,April '20,Strained lat,,07/20/20,07/30/20,08/04/20,Activated
25,Kevin Kramer,PIT,INF/OF,May '20,Hip surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
26,Yoshihisa Hirano,SEA,RP,Jun '20,COVID-19,Active roster,07/20/20,,08/21/20,Activated
27,Chris Archer,PIT,SP,06/02/20,Thoracic outlet syndrome surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
28,John Brebbia,STL,RP,06/03/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
29,Caleb Smith,ARI,SP,Jul '20,Undisclosed,Active roster,08/03/20,,09/11/20,Activated
30,Freddie Freeman,ATL,1B,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
