,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
31,Will Smith,ATL,RP,Jul '20,COVID-19,Active roster,07/20/20,,08/06/20,Activated
32,Phil Pfeifer,ATL,SP/RP,Jul '20,Elbow bone contusion,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
33,Jacob Webb,ATL,RP,Jul '20,Strained shoulder,Active roster,07/20/20,09/03/20,09/08/20,Activated
34,Dwight Smith Jr.,BAL,OF,Jul '20,COVID-19,Player Pool,07/20/20,,07/22/20,Activated
35,John Means,BAL,SP,Jul '20,Shoulder fatigue,,07/20/20,07/30/20,07/30/20,Activated
36,Eduardo Rodriguez,BOS,SP,Jul '20,COVID-19,10-Day IL,07/20/20,,09/28/20,Out for 2020 season
37,Darwinzon Hernández,BOS,RP,Jul '20,COVID-19,,07/20/20,,08/20/20,Activated
38,Josh Taylor,BOS,RP,Jul '20,COVID-19,,07/20/20,,08/17/20,Activated
39,Nomar Mazara,CHW,OF,Jul '20,Illness,Active roster,07/21/20,,08/03/20,Activated
40,José Ruiz,CHW,RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/09/20,Activated
41,Yoán Moncada,CHW,3B,Jul '20,COVID-19,Active roster,07/20/20,07/30/20,07/24/20,Activated
42,Delino DeShields,CLE,OF,Jul '20,COVID-19,Active roster,07/20/20,,08/06/20,Activated
43,Charlie Blackmon,COL,OF,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
44,Daniel Norris,DET,SP,Jul '20,COVID-19,Active roster,07/20/20,,08/02/20,Activated
45,Dario Agrazal,DET,SP,Jul '20,Strained forearm,45-Day IL,07/24/20,09/07/20,09/28/20,No timetable for return
46,Sergio Alcántara,DET,SP/RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/07/20,Activated
47,Troy Stokes Jr.,DET,OF,Jul '20,Hand surgery,45-Day IL,08/07/20,09/21/20,09/28/20,No timetable for return
48,Daz Cameron,DET,SP/RP,Jul '20,COVID-19,Active roster,07/20/20,,09/09/20,Activated
49,Isaac Paredes,DET,SP/RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/07/20,Activated
50,Brad Peacock,HOU,RP,Jul '20,Shoulder soreness,,07/20/20,07/30/20,09/05/20,Activated
51,José Urquidy,HOU,SP,Jul '20,COVID-19,Active roster,07/20/20,,09/05/20,Activated
52,Yordan Alvarez,HOU,DH,Jul '20,COVID-19,,07/20/20,,08/14/20,Activated
53,Cionel Pérez,HOU,RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/20/20,Activated
54,Salvador Perez,KCR,C,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
55,Cam Gallagher,KCR,C,Jul '20,COVID-19,Active roster,07/20/20,,08/02/20,Activated
56,Jakob Junis,KCR,SP,Jul '20,COVID-19,Active roster,07/20/20,,08/02/20,Activated
57,Randy Rosario,KCR,RP,Jul '20,Arm tightness,Active roster,07/20/20,07/30/20,08/21/20,Activated
58,Brad Keller,KCR,SP,Jul '20,COVID-19,Active roster,07/20/20,,08/06/20,Activated
59,Kelvin Gutiérrez,KCR,3B/1B,Jul '20,Sprained elbow,Active roster,07/20/20,09/03/20,09/12/20,Activated
60,Ryan O'Hearn,KCR,1B,Jul '20,COVID-19,Active roster,07/20/20,,07/27/20,Activated
61,Chance Adams,KCR,SP/RP,Jul '20,TBD,Player Pool,07/20/20,07/30/20,08/07/20,Activated
62,Julio Teheran,LAA,SP,Jul '20,COVID-19,Active roster,07/20/20,,08/05/20,Activated
63,Dillon Peters,LAA,SP/RP,Jul '20,Undisclosed,Player Pool,07/20/20,,09/01/20,Activated
64,José Quijada,LAA,RP,Jul '20,Undisclosed,Player Pool,07/20/20,,08/23/20,Activated
65,Luis Rengifo,LAA,INF,Jul '20,Strained hamstring,,07/20/20,07/30/20,07/28/20,Activated
66,José Suarez,LAA,SP/RP,Jul '20,Undisclosed,Player Pool,07/20/20,,08/10/20,Activated
67,Sean Rodríguez,MIA,INF/OF,Jul '20,Undisclosed,Active roster,08/03/20,,09/15/20,Activated
68,Matt Joyce,MIA,OF,Jul '20,COVID-19,Active roster,07/20/20,,08/04/20,Activated
69,Miguel Rojas,MIA,SS,Jul '20,COVID-19,Active roster,08/03/20,,08/20/20,Activated
70,Adam Conley,MIA,RP,Jul '20,Undisclosed,Outrighted,08/03/20,,08/31/20,Activated
71,Yimi García,MIA,RP,Jul '20,Undisclosed,Active roster,08/03/20,,08/28/20,Activated
72,Ryne Stanek,MIA,RP,Jul '20,Undisclosed,Active roster,08/03/20,,09/04/20,Activated
73,Chad Wallach,MIA,C,Jul '20,Undisclosed,Active roster,08/03/20,,08/29/20,Activated
74,Jorge Alfaro,MIA,C,Jul '20,COVID-19,Active roster,07/24/20,,08/21/20,Activated
75,Lewis Brinson,MIA,OF,Jul '20,Undisclosed,Active roster,07/20/20,,08/04/20,Activated
76,Sandy Alcantara,MIA,SP,Jul '20,Undisclosed,Active roster,08/03/20,,08/30/20,Activated
77,Jeff Brigham,MIA,RP,Jul '20,Undisclosed,10-Day IL,08/03/20,,09/28/20,No timetable for return
78,Jordan Holloway,MIA,RP,Jul '20,Undisclosed,10-Day IL,08/02/20,,09/28/20,No timetable for return
79,Nick Neidert,MIA,SP/RP,Jul '20,Undisclosed,Active roster,08/03/20,,09/13/20,Activated
80,Robert Dugger,MIA,SP/RP,Jul '20,Undisclosed,Active roster,08/03/20,,08/29/20,Activated
81,Alex Vesia,MIA,RP,Jul '20,Undisclosed,Player Pool,08/02/20,,08/29/20,Activated
82,Angel Perdomo,MIL,RP,Jul '20,COVID-19,Player Pool,07/20/20,,08/13/20,Activated
83,Eric Lauer,MIL,SP,Jul '20,COVID-19,Player Pool,07/20/20,,07/26/20,Activated
84,Luis Urías,MIL,INF,Jul '20,COVID-19,Active roster,07/20/20,,08/10/20,Activated
85,Willians Astudillo,MIN,UTL,Jul '20,COVID-19,Active roster,07/20/20,,08/11/20,Activated
86,Miguel Sanó,MIN,1B,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
87,Nick Gordon,MIN,INF,Jul '20,COVID-19,10-Day IL,07/20/20,,09/28/20,No timetable for return
88,Jared Hughes,NYM,RP,Jul '20,COVID-19,Active roster,07/20/20,,08/02/20,Activated
89,Brad Brach,NYM,RP,Jul '20,COVID-19,Active roster,07/20/20,,08/11/20,Activated
90,Jake Marisnick,NYM,OF,Jul '20,Strained hamstring,,07/29/20,08/08/20,08/28/20,Activated
91,Robert Gsellman,NYM,RP,Jul '20,Triceps tightness,,07/20/20,07/30/20,08/07/20,Activated
92,DJ LeMahieu,NYY,INF,Jul '20,COVID-19,,07/20/20,,07/24/20,Activated
93,Luis Cessa,NYY,RP/SP,Jul '20,COVID-19,Active roster,07/20/20,,08/05/20,Activated
94,Tommy Hunter,PHI,RP,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
95,Héctor Neris,PHI,RP,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
96,Ranger Suárez,PHI,SP/RP,Jul '20,Undisclosed,Player Pool,07/20/20,,08/31/20,Activated
97,Scott Kingery,PHI,INF/OF,Jul '20,COVID-19,,07/20/20,,07/24/20,Activated
98,Gregory Polanco,PIT,OF,Jul '20,COVID-19,Active roster,07/20/20,,07/27/20,Activated
99,JT Riddle,PIT,INF/OF,Jul '20,Strained abdomen,Active roster,07/20/20,07/30/20,08/05/20,Activated
100,Keone Kela,PIT,RP,Jul '20,COVID-19,,07/20/20,,08/13/20,Activated
101,Jorge Mateo,SDP,INF/OF,Jul '20,COVID-19,Active roster,07/22/20,,08/13/20,Activated
102,Evan Longoria,SFG,3B,Jul '20,Strained oblique,Active roster,07/20/20,07/30/20,07/30/20,Activated
103,Brandon Belt,SFG,1B,Jul '20,Achilles tendinitis,Active roster,07/20/20,07/30/20,07/30/20,Activated
104,Jarlín García,SFG,RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/09/20,Activated
105,Yadier Molina,STL,C,Jul '20,COVID-19,Active roster,08/04/20,,08/20/20,Activated
106,Brad Miller,STL,INF/OF,Jul '20,Ankle bursitis,Active roster,07/20/20,07/30/20,08/04/20,Activated
107,Rangel Ravelo,STL,INF/OF,Jul '20,COVID-19,Active roster,08/05/20,,09/02/20,Activated
108,Carlos Martinez,STL,SP,Jul '20,COVID-19,Active roster,08/04/20,,09/08/20,Activated
109,Giovanny Gallegos,STL,RP,Jul '20,Undisclosed,Active roster,07/20/20,,07/28/20,Activated
110,Edmundo Sosa,STL,INF,Jul '20,COVID-19,Player Pool,08/04/20,,08/27/20,Activated
111,Paul DeJong,STL,SS,Jul '20,COVID-19,Active roster,08/04/20,,08/23/20,Activated
112,Junior Fernández,STL,RP,Jul '20,COVID-19,Active roster,08/04/20,,07/28/20,Activated
113,Kodi Whitley,STL,RP,Jul '20,COVID-19,Active roster,08/04/20,,09/22/20,Activated
114,Austin Meadows,TBR,OF,Jul '20,COVID-19,,07/20/20,,08/04/20,Activated
115,Brendan McKay,TBR,SP/RP,Jul '20,Undisclosed,Player Pool,07/20/20,,08/30/20,Activated
116,Randy Arozarena,TBR,OF,Jul '20,Undisclosed,Active roster,07/20/20,,08/30/20,Activated
117,Rafael Montero,TEX,RP,Jul '20,Elbow tendinitis,Active roster,07/20/20,07/30/20,08/07/20,Activated
118,Brett Martin,TEX,RP,Jul '20,COVID-19,,07/20/20,,07/28/20,Activated
119,Wilmer Font,TOR,RP,Jul '20,Undisclosed,,07/20/20,,07/27/20,Activated
120,Brandon Drury,TOR,INF/OF,Jul '20,Undisclosed,Player Pool,07/20/20,,07/26/20,Activated
121,Jonathan Davis,TOR,OF,Jul '20,Undisclosed,Active roster,07/20/20,,08/02/20,Activated
122,Hector Perez,TOR,SP/RP,Jul '20,Undisclosed,Player Pool,07/20/20,,09/16/20,Activated
123,Elvis Luciano,TOR,SP/RP,Jul '20,Undisclosed,10-Day IL,07/20/20,,09/28/20,No timetable for return
124,Wander Suero,WSN,RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/04/20,Activated
125,Masahiro Tanaka,NYY,SP,07/04/20,Concussion,Active roster,07/20/20,07/30/20,08/01/20,Activated
126,Derek Fisher,TOR,OF,07/04/20,Strained quad,,07/05/20,07/15/20,08/26/20,Activated
127,Jimmy Nelson,LAD,RP/SP,07/07/20,Lower back surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
128,José Castillo,SDP,RP,07/08/20,Strained lat,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
129,Chase Anderson,TOR,SP,07/09/20,Strained oblique,Active roster,07/20/20,07/30/20,08/08/20,Activated
130,Dillon Tate,BAL,RP,07/10/20,Forearm contusion,10-Day IL,07/20/20,07/30/20,09/28/20,No timetable for return
131,Cole Hamels,ATL,SP,07/11/20,Triceps tendinitis,,07/20/20,09/03/20,09/16/20,Activated
132,Jose Quintana,CHC,SP,07/11/20,Thumb surgery (laceration),,07/20/20,07/30/20,08/25/20,Activated
133,Aroldis Chapman,NYY,RP,07/11/20,COVID-19,Active roster,07/20/20,,08/17/20,Activated
134,Gerson Bautista,SEA,RP,07/11/20,Strained mass flexor,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
135,Drew Steckenrider,MIA,RP,07/13/20,Triceps tendinitis,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
136,Hunter Harvey,BAL,RP,07/14/20,Elbow soreness,Active roster,07/20/20,07/30/20,08/30/20,Activated
137,Tom Murphy,SEA,C,07/14/20,Fractured foot,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
138,Richie Martin,BAL,INF,07/15/20,Wrist surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
139,Walker Lockett,NYM,RP/SP,07/16/20,Lower back discomfort,Active roster,07/20/20,07/30/20,08/11/20,Activated
140,Luke Maile,PIT,C,07/16/20,Fractured finger,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
141,Marcus Stroman,NYM,SP,07/17/20,Triceps tightness,Opted out of season,07/20/20,07/30/20,08/10/20,Activated
142,Anthony DeSclafani,CIN,SP,07/18/20,Strained teres major,Active roster,07/20/20,07/30/20,08/02/20,Activated
143,Jordan Zimmermann,DET,SP,07/18/20,Strained forearm,Active roster,07/20/20,09/03/20,09/10/20,Activated
144,Trey Wingenter,SDP,RP,07/18/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
145,Brett Anderson,MIL,SP,07/19/20,Blister on finger,Active roster,07/20/20,07/30/20,08/03/20,Activated
146,Ray Black,MIL,RP,07/19/20,Shoulder tightness,Active roster,07/20/20,09/03/20,09/14/20,Activated
147,Tyler Naquin,CLE,OF,07/20/20,Fractured toe,Active roster,07/21/20,07/31/20,08/11/20,Activated
148,Jake Odorizzi,MIN,SP,07/20/20,Strained intercostal,,07/20/20,07/30/20,08/08/20,Activated
149,Peter Lambert,COL,SP,07/21/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
150,Hunter Dozier,KCR,INF/OF,07/21/20,COVID-19,Active roster,07/22/20,,08/09/20,Activated
151,Clayton Kershaw,LAD,SP,07/21/20,Back stiffness,Active roster,07/20/20,07/30/20,08/02/20,Activated
152,Juan Soto,WSN,OF,07/21/20,COVID-19,Active roster,07/23/20,,08/04/20,Activated
153,Daniel Descalso,CHC,INF,07/22/20,Sprained ankle,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
154,Justin Anderson,LAA,RP,07/22/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
155,Tyler Flowers,ATL,C,07/24/20,Illness,Active roster,07/24/20,,07/29/20,Activated
156,Travis d'Arnaud,ATL,C,07/24/20,Illness,Active roster,07/24/20,,07/29/20,Activated
157,Aledmys Díaz,HOU,INF/OF,07/24/20,Strained groin,Active roster,07/25/20,08/04/20,08/29/20,Activated
158,Clay Holmes,PIT,RP,07/24/20,Strained forearm,45-Day IL,07/25/20,09/08/20,09/28/20,No timetable for return
159,Miles Mikolas,STL,SP,07/24/20,Strained forearm,45-Day IL,07/25/20,09/08/20,09/28/20,Out for 2020 season
160,Brad Wieck,CHC,RP,07/25/20,Strained hamstring,45-Day IL,07/26/20,09/09/20,09/28/20,No timetable for return
161,Matt Davidson,CIN,1B/3B,07/25/20,COVID-19,Player Pool,07/25/20,,07/31/20,Activated
162,Robert Stephenson,CIN,RP,07/25/20,Strained back,Active roster,07/26/20,08/05/20,08/24/20,Activated
163,Alex Wood,LAD,SP,07/25/20,Shoulder inflammation,Active roster,07/26/20,08/05/20,09/01/20,Activated
164,Eric Hosmer,SDP,1B,07/25/20,Gastritis,,07/29/20,08/08/20,08/08/20,Activated
165,Brandon Brennan,SEA,RP,07/25/20,Strained oblique,Active roster,07/26/20,09/09/20,09/15/20,Activated
166,Roenis Elías,WSN,RP,07/25/20,Strained flexor,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
167,Reynaldo López,CHW,SP,07/26/20,Strained shoulder,Active roster,07/27/20,08/06/20,08/22/20,Activated
168,Mike Moustakas,CIN,2B,07/26/20,Illness,Active roster,07/26/20,,07/29/20,Activated
169,Chris Devenski,HOU,RP,07/26/20,Elbow soreness,,07/29/20,08/08/20,09/04/20,Activated
170,Joe Biagini,HOU,RP,07/26/20,Shoulder soreness,Active roster,07/27/20,08/06/20,08/15/20,Activated
171,José Ureña,MIA,SP,07/26/20,COVID-19,Active roster,07/27/20,,09/07/20,Activated
172,Harold Ramírez,MIA,OF,07/26/20,COVID-19,,07/27/20,,09/05/20,Activated
173,Garrett Cooper,MIA,1B/OF,07/26/20,COVID-19,Active roster,07/27/20,,08/28/20,Activated
174,Eduardo Núñez,NYM,INF,07/26/20,Knee contusion,45-Day IL,07/27/20,09/10/20,09/28/20,No timetable for return
175,Corey Kluber,TEX,SP,07/26/20,Strained teres major,45-Day IL,07/27/20,09/10/20,09/28/20,No timetable for return
176,José Leclerc,TEX,RP,07/26/20,Strained teres major,45-Day IL,07/27/20,09/10/20,09/28/20,No timetable for return
177,Ken Giles,TOR,RP,07/26/20,Elbow discomfort,,07/27/20,09/10/20,09/11/20,Activated
178,Wade Miley,CIN,SP,07/27/20,Strained groin,,07/28/20,08/07/20,08/12/20,Activated
179,Mike Montgomery,KCR,SP,07/27/20,Strained lat,Active roster,07/28/20,09/11/20,09/23/20,Activated
180,Andrelton Simmons,LAA,SS,07/27/20,Sprained ankle,Active roster,07/28/20,08/07/20,08/21/20,Activated
181,Kyle Crick,PIT,RP,07/27/20,Strained lat,,07/28/20,08/07/20,08/29/20,Activated
182,Jimmy Lambert,CHW,RP,07/28/20,Strained forearm,45-Day IL,07/29/20,09/12/20,09/28/20,No timetable for return
183,Roberto Pérez,CLE,C,07/28/20,Shoulder soreness,Active roster,07/29/20,08/08/20,08/18/20,Activated
184,Homer Bailey,MIN,SP,07/28/20,Biceps tendinitis,Active roster,07/30/20,09/13/20,09/22/20,Activated
185,Danny Santana,TEX,INF/OF,07/28/20,Strained forearm,,07/30/20,08/09/20,08/16/20,Activated
186,Will Harris,WSN,RP,07/28/20,Strained groin,Active roster,07/29/20,08/08/20,08/13/20,Activated
187,James Norwood,CHC,RP,07/29/20,Shoulder inflammation,45-Day IL,07/30/20,09/13/20,09/28/20,No timetable for return
188,Rich Hill,MIN,SP,07/29/20,Shoulder fatigue,Active roster,07/31/20,08/10/20,08/19/20,Activated
189,René Rivera,NYM,C,07/29/20,Hyperextended elbow,45-Day IL,07/30/20,09/13/20,09/28/20,No timetable for return
190,Colin Poche,TBR,RP,07/29/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
191,Ozzie Albies,ATL,2B,07/30/20,Wrist contusion,Active roster,08/05/20,08/15/20,09/09/20,Activated
192,Cameron Maybin,DET,OF,07/30/20,Strained quad,Active roster,07/31/20,08/10/20,08/14/20,Activated
193,Zack Littell,MIN,RP,07/30/20,Strained hamstring,,07/31/20,08/10/20,08/13/20,Activated
194,Seranthony Domínguez,PHI,RP,07/30/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
195,Sam Coonrod,SFG,RP,07/30/20,Strained lat,,07/31/20,08/10/20,08/23/20,Activated
196,Tim Anderson,CHW,SS,07/31/20,Strained groin,Active roster,08/01/20,08/11/20,08/11/20,Activated
197,Wade Davis,COL,RP,07/31/20,Strained shoulder,Active roster,08/01/20,08/11/20,09/12/20,Activated
198,Josh Donaldson,MIN,3B,07/31/20,Strained calf,Active roster,08/04/20,08/14/20,09/02/20,Activated
199,Jordan Weems,OAK,RP,07/31/20,Strained lat,Active roster,08/01/20,08/11/20,08/14/20,Activated
200,Chris Davis,BAL,1B,Aug'20,Patellar tendinitis,,08/20/20,08/30/20,09/08/20,Activated
201,Roberto Osuna,HOU,RP,08/01/20,Elbow soreness,45-Day IL,08/02/20,09/16/20,09/28/20,No timetable for return
202,Bubba Starling,KCR,OF,Aug '20,Undisclosed,Active roster,08/05/20,,08/14/20,Activated
203,Michael Feliz,PIT,RP,08/01/20,Strained forearm,45-Day IL,08/02/20,09/16/20,09/28/20,No timetable for return
204,Mitch Keller,PIT,SP,08/01/20,Side discomfort,Active roster,08/02/20,08/12/20,09/14/20,Activated
205,Drew Smyly,SFG,SP,08/01/20,Sprained finger,Active roster,08/02/20,08/12/20,09/10/20,Activated
206,Austin Gomber,STL,SP/RP,Aug '20,COVID-19 protocol,Active roster,08/15/20,,08/19/20,Activated
207,Austin Dean,STL,OF/1B,Aug '20,COVID-19,,08/15/20,,09/10/20,Activated
208,Lane Thomas,STL,OF,Aug '20,COVID-19,Active roster,08/15/20,,08/31/20,Activated
209,Ryan Helsley,STL,RP,Aug '20,COVID-19,Active roster,08/15/20,,09/01/20,Activated
210,Kevan Smith,TBR,C,08/01/20,Illness,Active roster,08/01/20,,08/02/20,Activated
211,Manuel Margot,TBR,OF,Aug '20,Undisclosed,Active roster,08/07/20,,08/09/20,Activated
212,Greg Bird,TEX,1B,Aug '20,Strained calf,Player Pool,08/01/20,08/11/20,08/11/20,Activated
213,Joey Votto,CIN,1B,08/02/20,Illness,Active roster,08/02/20,,08/03/20,Activated
214,Glenn Sparkman,KCR,RP,08/02/20,Strained forearm,45-Day IL,08/03/20,09/17/20,09/28/20,No timetable for return
215,Cam Bedrosian,LAA,RP,08/02/20,Strained adductor,Active roster,08/03/20,08/13/20,08/31/20,Activated
216,Ryan Braun,MIL,1B/OF,08/02/20,Finger infection,Active roster,07/30/20,08/09/20,08/11/20,Activated
217,Kendall Graveman,SEA,SP,08/02/20,Benign bone tumor in spine,Active roster,08/03/20,08/13/20,09/01/20,Activated
218,Yonny Chirinos,TBR,SP,08/02/20,Triceps inflammation,,08/03/20,08/13/20,08/16/20,Activated
219,Carlos Rodón,CHW,SP,08/03/20,Shoulder soreness,Active roster,08/04/20,09/18/20,09/24/20,Activated
220,Chi Chi González,COL,SP,08/03/20,Biceps tendinitis,Active roster,08/04/20,08/14/20,08/29/20,Activated
221,Robinson Canó,NYM,2B,08/03/20,Strained adductor,Active roster,08/04/20,08/14/20,08/14/20,Activated
222,Nick Burdi,PIT,RP,08/03/20,Elbow discomfort,45-Day IL,08/04/20,09/18/20,09/28/20,No timetable for return
223,Matt Adams,ATL,1B,08/04/20,Strained hamstring,Released,08/05/20,08/15/20,08/17/20,Activated
224,Nick Madrigal,CHW,2B,08/04/20,Shoulder separation,Active roster,08/05/20,08/15/20,08/28/20,Activated
225,Mike Moustakas,CIN,2B,08/04/20,Quad contusion,Active roster,08/06/20,08/16/20,08/19/20,Activated
226,Tommy Kahnle,NYY,RP,08/04/20,Tommy John surgery,45-Day IL,07/28/20,09/11/20,09/28/20,Out for 2020 season
227,Joe Musgrove,PIT,SP,08/04/20,Triceps inflammation,Active roster,08/08/20,08/18/20,09/02/20,Activated
228,Harold Ramírez,MIA,OF,08/05/20,Strained hamstring,45-Day IL,08/06/20,09/20/20,09/28/20,Out for 2020 season
229,Kyle Higashioka,NYY,C,08/05/20,Strained oblique,Active roster,08/06/20,08/16/20,09/01/20,Activated
230,Carl Edwards Jr.,SEA,RP,08/05/20,Strained forearm,45-Day IL,08/07/20,09/21/20,09/28/20,No timetable for return
231,Austin Hays,BAL,OF,08/06/20,Non-displaced rib fracture,Active roster,08/15/20,08/25/20,09/14/20,Activated
232,Reggie McClain,PHI,RP,08/06/20,Shoulder impingement,Player Pool,08/03/20,08/13/20,08/20/20,Activated
233,Trent Thornton,TOR,SP,08/06/20,Elbow inflammation,,08/03/20,08/13/20,08/20/20,Activated
234,Chris Martin,ATL,RP,08/07/20,Esophageal constriction,Active roster,08/06/20,08/16/20,08/20/20,Activated
235,Michael Soroka,ATL,SP,08/07/20,Achilles' tendon surgery,45-Day IL,08/04/20,09/18/20,09/28/20,Out for 2020 season
236,Aaron Bummer,CHW,RP,08/07/20,Strained biceps,Active roster,08/08/20,09/22/20,09/24/20,Activated
237,Pedro Strop,CIN,RP,08/07/20,Strained groin,Player Pool,08/08/20,08/18/20,08/26/20,Activated
238,Nick Heath,KCR,OF,08/07/20,Strained hamstring,Active roster,08/08/20,08/18/20,08/31/20,Activated
239,Richard Bleier,MIA,RP,08/07/20,Strained triceps,Active roster,08/08/20,08/18/20,08/21/20,Activated
240,Michael Wacha,NYM,SP,08/07/20,Shoulder inflammation,Active roster,08/08/20,08/18/20,08/27/20,Activated
241,Jeff Samardzija,SFG,SP,08/07/20,Shoulder impingement,Active roster,08/08/20,08/18/20,09/25/20,Activated
