,Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
7762,2023,Corey Dickerson,WSN,50,147,140,36,26,7,1,2,12,17,6,0,26,0,1,0,3,0,1,0.257142857,10762
7763,2023,Whit Merrifield,TOR,143,581,536,144,107,26,0,11,65,67,36,2,100,3,6,0,15,25,9,0.268656716,11281
7764,2023,Jace Peterson,OAK,90,315,274,60,46,7,2,5,28,25,34,1,76,3,3,1,6,11,1,0.218978102,12325
7765,2023,David Dahl,SDP,4,9,9,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.111111111,13744
7766,2023,Reese McGuire,BOS,66,200,181,45,32,11,1,1,13,15,11,0,52,1,1,2,2,2,1,0.248618784,15674
7767,2023,Jose Trevino,NYY,52,167,156,33,25,4,0,4,15,15,8,0,22,2,0,1,6,0,0,0.211538461,16725
7768,2023,Canaan Smith-Njigba,PIT,13,37,32,4,2,1,1,0,3,5,4,0,16,0,1,0,1,1,0,0.125,23264
7769,2023,Miguel Rojas,LAD,122,417,379,89,67,16,1,5,49,31,26,0,47,5,5,2,11,8,3,0.234828496,7802
7770,2023,Mike Zunino,CLE,41,138,122,22,12,7,0,3,11,11,15,0,61,1,0,0,3,0,0,0.180327868,13265
7771,2023,David Hensley,HOU,29,94,84,10,8,1,0,1,12,3,10,0,35,0,0,0,0,1,0,0.119047619,25111
7772,2023,Corbin Carroll,ARI,152,627,548,156,94,28,10,24,112,74,56,1,123,13,4,6,7,52,5,0.284671532,25878
7773,2023,Luke Voit,MIL,21,68,62,13,10,3,0,0,4,4,4,0,24,2,0,0,3,1,0,0.209677419,14811
7774,2023,Nicky Lopez,KCR,59,183,155,32,24,5,3,0,18,13,20,0,29,5,0,3,3,4,2,0.206451612,19339
7775,2023,Tommy Pham,NYM,73,248,215,59,34,15,1,9,27,35,29,1,53,1,3,0,1,10,1,0.274418604,2967
7776,2023,Tim Locastro,NYM,32,63,52,13,8,3,0,2,13,3,3,0,20,6,0,2,0,6,0,0.25,15124
7777,2023,Eloy Jimenez,CHW,119,479,446,124,83,23,0,18,50,64,30,2,88,1,2,0,13,0,0,0.278026905,17484
7778,2023,David Fletcher,LAA,30,97,89,22,19,1,0,2,7,12,7,1,9,0,0,1,2,0,0,0.247191011,17992
7779,2023,Sean Murphy,ATL,105,426,360,92,51,21,0,20,64,65,48,0,93,17,1,0,18,0,0,0.255555555,19352
7780,2023,Kyle Farmer,MIN,111,361,329,85,58,14,2,11,48,46,23,0,84,7,2,0,7,2,3,0.258358662,14813
7781,2023,Austin Meadows,DET,6,21,21,5,4,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0.238095238,15672
7782,2023,Miguel Cabrera,DET,97,364,328,84,62,18,0,4,21,33,31,0,73,2,3,0,11,0,0,0.25609756,1744
7783,2023,Tyler Heineman,PIT,3,10,9,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.111111111,13897
7784,2023,Jake McCarthy,ARI,93,304,268,65,51,7,5,2,36,16,26,0,59,5,1,4,4,24,4,0.242537313,21622
7785,2023,Ryan Kreidler,DET,10,17,17,1,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0.058823529,25867
7786,2023,Roberto Perez,SFG,5,12,11,2,2,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0.181818181,2900
7787,2023,Franchy Cordero,NYY,22,70,68,13,5,2,0,6,9,13,2,0,25,0,0,0,0,0,0,0.19117647,14567
7788,2023,Yordan Alvarez,HOU,113,478,396,115,62,21,1,31,76,96,65,5,87,13,4,0,7,0,0,0.29040404,19556
7789,2023,Vladimir Guerrero Jr.,TOR,156,668,592,157,102,30,0,25,77,90,63,5,98,9,4,0,23,5,3,0.265202702,19611
7790,2023,MJ Melendez,KCR,145,582,518,123,74,28,5,16,64,56,57,2,162,3,4,0,3,6,4,0.237451737,22197
7791,2023,Nolan Gorman,STL,116,446,389,91,48,17,0,26,57,69,52,1,144,3,2,0,5,7,2,0.233933161,22263
7792,2023,Hanser Alberto,CHW,28,86,78,17,9,5,0,3,10,15,4,0,13,1,1,2,1,0,0,0.217948717,11902
7793,2023,Jeimer Candelario,WSN,99,407,357,93,46,29,2,16,57,52,35,1,85,12,2,0,9,6,1,0.260504201,13621
7794,2023,Trayce Thompson,LAD,35,84,69,10,5,0,0,5,12,14,15,0,36,0,0,0,0,0,0,0.144927536,9952
7795,2023,Kolten Wong,SEA,64,208,186,32,24,6,0,2,21,19,16,0,43,4,2,0,0,1,1,0.17204301,12532
7796,2023,Tomas Nido,NYM,17,45,40,5,5,0,0,0,4,1,2,0,12,0,1,2,2,0,0,0.125,13755
7797,2023,Hunter Dozier,KCR,26,78,70,15,10,2,1,2,8,9,7,0,23,0,1,0,0,2,0,0.214285714,15117
7798,2023,Thairo Estrada,SFG,110,440,411,109,75,23,1,10,46,37,17,0,106,10,2,0,9,16,6,0.265206812,16426
7799,2023,Victor Robles,WSN,35,123,105,31,25,5,1,0,15,8,10,0,18,4,0,4,3,8,1,0.295238095,18363
7800,2023,Ronald Acuna Jr.,ATL,157,708,617,208,132,34,4,38,141,102,79,3,80,9,3,0,15,71,14,0.337115072,18401
7801,2023,Tommy Edman,STL,131,506,459,112,74,23,3,12,63,44,34,1,81,6,4,3,8,25,4,0.244008714,19470
7802,2023,Oneil Cruz,PIT,9,37,29,6,4,1,0,1,7,3,7,0,7,0,1,0,0,3,0,0.206896551,21711
7803,2023,Eduardo Escobar,NYM,35,108,98,22,15,3,2,2,13,13,8,0,22,0,1,1,4,2,0,0.224489795,6153
7804,2023,Stone Garrett,WSN,87,269,232,63,37,17,0,9,40,40,26,0,81,3,5,0,6,3,1,0.271551724,19273
7805,2023,Josh Rojas,ARI,57,214,187,43,30,13,0,0,23,26,18,0,50,1,4,2,2,6,0,0.229946524,19734
7806,2023,James Outman,LAD,149,556,475,119,78,16,2,23,86,70,65,1,178,12,4,0,4,15,3,0.250526315,24770
7807,2023,Andrew Vaughn,CHW,150,599,550,143,92,28,2,21,65,79,36,0,125,11,2,0,14,0,0,0.26,26197
7808,2023,Wilmer Flores,SFG,116,373,328,94,60,15,0,19,40,50,37,1,53,5,2,1,11,0,0,0.286585365,5827
7809,2023,Donovan Solano,MIN,131,441,386,110,78,26,1,5,43,38,39,1,97,15,1,0,7,0,0,0.284974093,8623
7810,2023,Austin Wynns,SFG,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,15271
7811,2023,Aledmys Diaz,OAK,108,339,311,71,46,20,1,4,25,24,16,2,65,7,4,1,14,1,0,0.228295819,15937
7812,2023,Eric Hosmer,CHC,31,95,89,22,17,3,0,2,7,14,6,0,21,0,0,0,5,0,0,0.247191011,3516
7813,2023,Aaron Hicks,NYY,26,73,66,13,10,2,0,1,9,5,7,0,19,0,0,0,0,0,0,0.196969696,5297
7814,2023,Tommy La Stella,SEA,12,23,20,4,3,1,0,0,2,2,3,0,4,0,0,0,0,0,0,0.2,12371
7815,2023,Brad Miller,TEX,26,67,56,12,7,4,0,1,8,6,10,0,11,0,1,0,1,0,0,0.214285714,12775
7816,2023,Teoscar Hernandez,SEA,159,670,618,158,102,29,2,25,69,90,37,2,209,8,7,0,6,7,1,0.25566343,13066
7817,2023,Meibrys Viloria,CLE,3,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,17109
7818,2023,Nelson Velazquez,CHC,12,32,29,7,2,2,0,3,8,6,3,0,8,0,0,0,1,0,0,0.24137931,23359
7819,2023,Sandy Leon,TEX,17,44,41,6,4,2,0,0,4,4,1,0,20,1,0,1,2,0,0,0.146341463,5273
7820,2023,Brett Phillips,LAA,27,70,63,11,7,1,0,3,9,6,7,0,36,0,0,0,0,3,0,0.174603174,14735
7821,2023,Mark Mathias,PIT,22,61,52,12,10,2,0,0,5,4,9,0,11,0,0,0,3,3,0,0.23076923,18032
7822,2023,Kevin Smith,OAK,46,143,132,23,15,4,0,4,14,10,5,0,50,1,0,5,3,1,0,0.174242424,20242
7823,2023,Yasmani Grandal,CHW,113,396,355,84,62,14,0,8,33,33,35,1,83,4,2,0,11,0,0,0.236619718,11368
7824,2023,Michael A. Taylor,MIN,124,383,351,77,41,14,1,21,48,51,26,0,127,2,1,3,7,13,1,0.219373219,11489
7825,2023,Tom Murphy,SEA,47,157,143,42,22,12,0,8,19,17,10,0,43,1,2,0,4,0,0,0.293706293,13499
7826,2023,Terrin Vavra,BAL,23,53,46,12,12,0,0,0,8,5,5,0,11,0,0,2,5,1,0,0.260869565,24400
7827,2023,Matt Beaty,SFG,4,5,5,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.2,17710
7828,2023,Kyle Isbel,KCR,88,304,284,68,40,21,2,5,44,34,16,0,59,1,2,1,5,7,1,0.239436619,21614
7829,2023,Jordan Luplow,TOR,7,17,14,3,3,0,0,0,1,1,3,1,8,0,0,0,0,0,0,0.214285714,16424
