mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2213812828063965,0.010846064476418714,0.009116888046264648,0.0019117957485048007,,1,2,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.5828571428571429,0.583969465648855,0.6221374045801527,0.5648854961832062,0.6297709923664122,0.5967241003271538,0.02492630351896103,107
0.4460817813873291,0.02090836761348036,0.011824226379394532,0.002933137022840888,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.5923809523809523,0.5877862595419847,0.6316793893129771,0.5591603053435115,0.6164122137404581,0.5974838240639767,0.0249655553218142,104
0.8583849906921387,0.06148331063695864,0.0231536865234375,0.003918338420737798,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5923809523809523,0.5858778625954199,0.6278625954198473,0.566793893129771,0.6202290076335878,0.5986288622319156,0.02252228702617361,103
0.22045502662658692,0.020576582354592438,0.009320783615112304,0.003515797895137815,,1,5,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.6133333333333333,0.6259541984732825,0.6545801526717557,0.583969465648855,0.6259541984732825,0.6207582697201017,0.02283182385597692,98
0.43886051177978513,0.045165280397383836,0.010722017288208008,0.0018880032490516117,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6266666666666667,0.6164122137404581,0.6393129770992366,0.5820610687022901,0.6297709923664122,0.6188447837150127,0.01979126027131965,100
0.7762506008148193,0.03945434585210434,0.02455000877380371,0.005966152083743859,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6190476190476191,0.6316793893129771,0.6431297709923665,0.5858778625954199,0.6374045801526718,0.6234278444202108,0.020399953700260345,96
0.19043307304382323,0.01788068030168755,0.013432025909423828,0.009675904468405872,,1,10,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.6552380952380953,0.6469465648854962,0.6526717557251909,0.6106870229007634,0.6393129770992366,0.6409712831697564,0.016099896740413348,81
0.3498385429382324,0.024806307084915623,0.010125875473022461,0.0022541057672124843,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.6533333333333333,0.6545801526717557,0.6717557251908397,0.6087786259541985,0.6316793893129771,0.6440254452926208,0.02173370848520355,76
0.7114701271057129,0.047400500054223346,0.02275528907775879,0.008518697412214712,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.6552380952380953,0.6583969465648855,0.6641221374045801,0.6183206106870229,0.6278625954198473,0.6447880770628862,0.01819455305022471,75
0.17863669395446777,0.00443525093122113,0.006021976470947266,0.001055898549626301,,2,2,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.6514285714285715,0.6450381679389313,0.6545801526717557,0.6106870229007634,0.6297709923664122,0.6383009814612869,0.016235923975089647,82
